"","SiteSubsitePlot","NbSpeciesPerTrendPlot","TotalSpecies","SiteSubsite","LAT","SurveyedArea","Region","MOISTURE","Duration","PlotGraminoidMean","PlotShrubMean","PlotForbMean","MeanRichness","Extinct","Coloniser","Persisting"
"1","ABISKO:ABISKODRY_PADDUS:CTL_1",0,13,"ABISKO:ABISKODRY_PADDUS",68.1933,0.25,"Eurasia","MOIST",6,22.5614035087719,69.7368421052632,7.70175438596491,12,0,0.153846153846154,0.846153846153846
"2","ABISKO:ABISKODRY_PADDUS:CTL_2",4,14,"ABISKO:ABISKODRY_PADDUS",68.1933,0.25,"Eurasia","MOIST",6,3.0107047279215,92.2242045792447,4.76509069283378,11,0.285714285714286,0.142857142857143,0.571428571428571
"3","ABISKO:ABISKODRY_PADDUS:CTL_3",1,16,"ABISKO:ABISKODRY_PADDUS",68.1933,0.25,"Eurasia","MOIST",6,4.01710251566073,82.9770309237347,13.0058665606046,14,0.0625,0.25,0.6875
"4","ABISKO:ABISKODRY_PADDUS:CTL_4",6,18,"ABISKO:ABISKODRY_PADDUS",68.1933,0.25,"Eurasia","MOIST",6,7.97647058823529,79.8117647058824,12.2117647058824,14,0.333333333333333,0.111111111111111,0.555555555555556
"5","ABISKO:ABISKODRY_PADDUS:CTL_5",2,16,"ABISKO:ABISKODRY_PADDUS",68.1933,0.25,"Eurasia","MOIST",6,5.20833333333333,79.0178571428571,15.7738095238095,14,0.125,0.125,0.75
"6","ABISKO:ABISKODRY_PADDUS:CTL_6",0,11,"ABISKO:ABISKODRY_PADDUS",68.1933,0.25,"Eurasia","MOIST",6,4.46105072463768,94.4972826086957,1.04166666666667,9,0,0.363636363636364,0.636363636363636
"7","ABISKO:ABISKOWET_FLUX:1_CTL",1,10,"ABISKO:ABISKOWET_FLUX",68.20462,0.0484,"Eurasia","",6,43.7306525923764,48.0305627343924,8.23878467323112,10,0.1,0,0.9
"8","ABISKO:ABISKOWET_FLUX:2_CTL",2,11,"ABISKO:ABISKOWET_FLUX",68.20462,0.0484,"Eurasia","",6,54.8623105440653,41.270800367259,3.86688908867566,9,0.181818181818182,0.181818181818182,0.636363636363636
"9","ABISKO:ABISKOWET_FLUX:3_CTL",0,10,"ABISKO:ABISKOWET_FLUX",68.20462,0.0484,"Eurasia","",6,32.432667594774,62.8289993052924,4.73833309993355,8,0,0.3,0.7
"10","ABISKO:ABISKOWET_FLUX:4_CTL",6,16,"ABISKO:ABISKOWET_FLUX",68.20462,0.0484,"Eurasia","",6,19.9112007293121,75.5813934181541,4.50740585253382,10,0.375,0.25,0.375
"11","ABISKO:ABISKOWET_FLUX:5_CTL",2,9,"ABISKO:ABISKOWET_FLUX",68.20462,0.0484,"Eurasia","",6,25.1913845127083,69.9650370576219,4.84357842966976,8,0.222222222222222,0,0.777777777777778
"12","ABISKO:ABISKOWET_FLUX:6_CTL",2,14,"ABISKO:ABISKOWET_FLUX",68.20462,0.0484,"Eurasia","",6,17.7156141428912,77.6582548931152,4.62613096399358,10,0.142857142857143,0.214285714285714,0.642857142857143
"13","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1",1,12,"ABISKO:ABISKOWET_MULTE",68.20462,0.25,"Eurasia","WET",9,45.1636412503184,46.9992337022047,7.8371250474769,12,0.0833333333333333,0,0.916666666666667
"14","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2",3,12,"ABISKO:ABISKOWET_MULTE",68.20462,0.25,"Eurasia","WET",9,43.0378854017347,46.3621621400267,10.5999524582386,10,0.25,0.0833333333333333,0.666666666666667
"15","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3",2,11,"ABISKO:ABISKOWET_MULTE",68.20462,0.25,"Eurasia","WET",9,26.5511245785288,69.5525606115715,3.8963148098997,9,0.181818181818182,0.0909090909090909,0.727272727272727
"16","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4",0,10,"ABISKO:ABISKOWET_MULTE",68.20462,0.25,"Eurasia","WET",9,24.5801802362018,73.1809824608689,2.23883730292933,10,0,0.2,0.8
"17","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5",2,12,"ABISKO:ABISKOWET_MULTE",68.20462,0.25,"Eurasia","WET",9,10.0020803793966,86.0862307160949,3.91168890450857,9,0.166666666666667,0.25,0.583333333333333
"18","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6",4,14,"ABISKO:ABISKOWET_MULTE",68.20462,0.25,"Eurasia","WET",9,26.3862323585561,72.5730924780979,1.04067516334597,10,0.285714285714286,0.0714285714285714,0.642857142857143
"19","ABISKO:lower_forest:ALFc1",0,5,"ABISKO:lower_forest",68.3284,1,"Eurasia","",10,13.4106891701828,86.5893108298172,0,5,0,0,1
"20","ABISKO:lower_forest:ALFc2",2,6,"ABISKO:lower_forest",68.3284,1,"Eurasia","",10,13.7903225806452,86.2096774193548,0,5,0.333333333333333,0,0.666666666666667
"21","ABISKO:lower_forest:ALFc3",2,9,"ABISKO:lower_forest",68.3284,1,"Eurasia","",10,21.9078947368421,78.0921052631579,0,8,0.222222222222222,0.111111111111111,0.666666666666667
"22","ABISKO:lower_forest:ALFc4",4,9,"ABISKO:lower_forest",68.3284,1,"Eurasia","",10,30.1136363636364,69.376159554731,0.510204081632653,6,0.444444444444444,0.111111111111111,0.444444444444444
"23","ABISKO:lower_forest:ALFc5",9,13,"ABISKO:lower_forest",68.3284,1,"Eurasia","",10,25.206431986093,73.5115167318557,1.28205128205128,8,0.692307692307692,0.0769230769230769,0.230769230769231
"24","ABISKO:lower_tundra:ALTc1",0,5,"ABISKO:lower_tundra",68.3244,1,"Eurasia","",10,4.22967040624347,95.7703295937565,0,4,0,0.6,0.4
"25","ABISKO:lower_tundra:ALTc2",0,6,"ABISKO:lower_tundra",68.3244,1,"Eurasia","",10,0,97.2222222222222,2.77777777777778,5,0,0.333333333333333,0.666666666666667
"26","ABISKO:lower_tundra:ALTc3",2,5,"ABISKO:lower_tundra",68.3244,1,"Eurasia","",10,3.21428571428571,96.7857142857143,0,4,0.4,0,0.6
"27","ABISKO:lower_tundra:ALTc4",5,7,"ABISKO:lower_tundra",68.3244,1,"Eurasia","",10,0.609756097560976,97.5609756097561,1.82926829268293,4,0.714285714285714,0,0.285714285714286
"28","ABISKO:lower_tundra:ALTc5",0,5,"ABISKO:lower_tundra",68.3244,1,"Eurasia","",10,1.25,98.75,0,4,0,0.4,0.6
"29","ABISKO:PEATLAND:AA1",1,9,"ABISKO:PEATLAND",68.358087,0.25,"Eurasia","MOIST",13,2.05397366492043,91.488568927823,6.45745740725654,8,0.111111111111111,0,0.888888888888889
"30","ABISKO:PEATLAND:AA2",1,9,"ABISKO:PEATLAND",68.358087,0.25,"Eurasia","MOIST",13,4.93213912834086,84.3236951897887,10.7441656818704,8,0.111111111111111,0.111111111111111,0.777777777777778
"31","ABISKO:PEATLAND:AA3",1,10,"ABISKO:PEATLAND",68.358087,0.25,"Eurasia","MOIST",13,1.42752260316524,87.71792558206,10.8545518147748,9,0.1,0.1,0.8
"32","ABISKO:PEATLAND:AA4",2,9,"ABISKO:PEATLAND",68.358087,0.25,"Eurasia","MOIST",13,3.78101245191419,83.1948095089526,13.0241780391332,8,0.222222222222222,0,0.777777777777778
"33","ABISKO:PEATLAND:AA5",1,11,"ABISKO:PEATLAND",68.358087,0.25,"Eurasia","MOIST",13,1.74957715735807,92.9762846967391,5.27413814590287,9,0.0909090909090909,0.181818181818182,0.727272727272727
"34","ABISKO:upper_forest:AUFc1",0,6,"ABISKO:upper_forest",68.3145,1,"Eurasia","",10,17.1074924698795,82.8925075301205,0,6,0,0.166666666666667,0.833333333333333
"35","ABISKO:upper_forest:AUFc3",1,12,"ABISKO:upper_forest",68.3145,1,"Eurasia","",10,27.1380324654102,71.369430221157,1.49253731343284,8,0.0833333333333333,0.5,0.416666666666667
"36","ABISKO:upper_forest:AUFc5",2,12,"ABISKO:upper_forest",68.3145,1,"Eurasia","",10,19.6806100875868,77.8578979160375,2.46149199637572,8,0.166666666666667,0.583333333333333,0.25
"37","ABISKO:upper_tundra:AUTc1",1,5,"ABISKO:upper_tundra",68.3133,1,"Eurasia","",10,3.55450236966825,96.4454976303318,0,4,0.2,0.4,0.4
"38","ABISKO:upper_tundra:AUTc2",0,6,"ABISKO:upper_tundra",68.3133,1,"Eurasia","",10,0.869565217391304,99.1304347826087,0,6,0,0.166666666666667,0.833333333333333
"39","ABISKO:upper_tundra:AUTc3",0,5,"ABISKO:upper_tundra",68.3133,1,"Eurasia","",10,4.16666666666667,95.8333333333333,0,4,0,0.4,0.6
"40","ABISKO:upper_tundra:AUTc4",0,7,"ABISKO:upper_tundra",68.3133,1,"Eurasia","",10,0.578034682080925,98.5549132947977,0.867052023121387,4,0,0.714285714285714,0.285714285714286
"41","ABISKO:upper_tundra:AUTc5",1,7,"ABISKO:upper_tundra",68.3133,1,"Eurasia","",10,6.59356725146199,90.906432748538,2.5,5,0.142857142857143,0.428571428571429,0.428571428571429
"42","ALEXFIORD:CASSIOPE:Cas.c.c.10new",0,9,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,19.7836716293215,70.6365511317969,9.57977723888159,8,0,0.333333333333333,0.666666666666667
"43","ALEXFIORD:CASSIOPE:Cas.c.c.11new",0,10,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,20.5156196588265,73.2964298447775,6.18795049639603,7,0,0.3,0.7
"44","ALEXFIORD:CASSIOPE:Cas.c.c.12",1,9,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",19,20.1159688013136,74.0953407224959,5.78869047619048,7,0.111111111111111,0.222222222222222,0.666666666666667
"45","ALEXFIORD:CASSIOPE:Cas.c.c.12new",1,8,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,29.3172105205719,61.0744515988213,9.60833788060679,7,0.125,0,0.875
"46","ALEXFIORD:CASSIOPE:Cas.c.c.13",1,7,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",19,3.85882293777031,90.7218522350101,5.41932482721956,5,0.142857142857143,0.142857142857143,0.714285714285714
"47","ALEXFIORD:CASSIOPE:Cas.c.c.13new",1,8,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,3.41625279125279,86.0917355482573,10.4920116604899,6,0.125,0.25,0.625
"48","ALEXFIORD:CASSIOPE:Cas.c.c.14new",1,8,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,21.0392385392385,75.2553002553003,3.70546120546121,7,0.125,0.125,0.75
"49","ALEXFIORD:CASSIOPE:Cas.c.c.15new",2,6,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,1.77812745869394,95.9584579071597,2.26341463414634,5,0.333333333333333,0.166666666666667,0.5
"50","ALEXFIORD:CASSIOPE:Cas.c.c.16",3,9,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",19,10.9484913975761,84.2121154335113,4.83939316891262,6,0.333333333333333,0.111111111111111,0.555555555555556
"51","ALEXFIORD:CASSIOPE:Cas.c.c.16new",1,10,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,16.1480814548041,78.8710150726957,4.98090347250011,8,0.1,0.4,0.5
"52","ALEXFIORD:CASSIOPE:Cas.c.c.17new",5,8,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,6.95650249329764,84.2851767399442,8.75832076675814,6,0.625,0,0.375
"53","ALEXFIORD:CASSIOPE:Cas.c.c.18new",2,8,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,15.3807805457734,80.1765865252235,4.44263292900309,7,0.25,0,0.75
"54","ALEXFIORD:CASSIOPE:Cas.c.c.1new",1,8,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,26.0933592804711,69.750947809954,4.1556929095749,7,0.125,0.25,0.625
"55","ALEXFIORD:CASSIOPE:Cas.c.c.2",3,6,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",19,6.59879336349925,91.3084464555053,2.09276018099548,6,0.5,0,0.5
"56","ALEXFIORD:CASSIOPE:Cas.c.c.2new",2,7,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,12.4749963867611,84.8962277785807,2.62877583465819,5,0.285714285714286,0,0.714285714285714
"57","ALEXFIORD:CASSIOPE:Cas.c.c.3new",1,4,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,0,95.2833167615776,4.71668323842237,4,0.25,0.25,0.5
"58","ALEXFIORD:CASSIOPE:Cas.c.c.4",1,7,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",19,2.23834498834499,87.9415216566379,9.82013335501708,6,0.142857142857143,0.142857142857143,0.714285714285714
"59","ALEXFIORD:CASSIOPE:Cas.c.c.4new",0,4,"ALEXFIORD:CASSIOPE",78.87448,1,"North America-East","MOIST",24,3.96161439404137,93.5575671916364,2.48081841432225,5,0,0.25,0.75
