"","X","SiteSubsitePlot","duration","richness","richness_change","Jaccard","BrayCurtis","richness_change_abs","SiteSubsite","MOISTURE","LAT","LONG","SurveyedArea","Region","PlotShrubMean","PlotGraminoidMean","PlotForbMean","MeanRichness"
"1",1,"ALEXFIORD:CASSIOPE_COVER:ALL",26,6,0,0,0.0484737909289185,0,"ALEXFIORD:CASSIOPE_COVER","MOIST",78.87448,-75.78341,0.25,"North America-East",93.8660911175511,4.58637200689039,1.54753687555851,6
"2",2,"ATQASUK:RATE_BETULA_SHRUB:56",9,9,1,0.25,0.357204140972285,1,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",36.9000745634207,59.8747295609792,3.22519587560001,8
"3",3,"ATQASUK:RATE_BETULA_SHRUB:50",9,10,0,0.2,0.207105626888272,0,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",55.7540804133583,41.906500983396,2.33941860324567,9
"4",4,"ATQASUK:RATE_BETULA_SHRUB:9",9,13,1,0,0.247971885172032,1,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",60.5888299504406,26.7481841959366,12.6629858536228,12
"5",5,"ATQASUK:RATE_BETULA_SHRUB:31",9,15,-1,0.285714285714286,0.555035950982658,1,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",25.3211350155094,70.9399009891026,3.738963995388,12
"6",6,"ATQASUK:RATE_BETULA_SHRUB:48",9,9,-2,0,0.211138788287016,2,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",50.0950574520316,49.694280225627,0.210662322341441,8
"7",7,"ATQASUK:RATE_BETULA_SHRUB:54",9,12,1,0.363636363636364,0.275026344286293,1,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",55.5773677286392,36.3883739658298,8.034258305531,10
"8",8,"ATQASUK:RATE_BETULA_SHRUB:42",9,13,-1,0.333333333333333,0.366250792458611,1,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",65.8912571283505,20.0232170078105,14.0855258638389,10
"9",9,"ATQASUK:RATE_BETULA_SHRUB:44",9,11,2,0,0.242766576030051,2,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",80.1628735544549,9.0206432066124,10.8164832389327,10
"10",10,"ATQASUK:RATE_CAREX_ WET_MEADOW:18",9,20,1,0.210526315789474,0.325613628042581,1,"ATQASUK:RATE_CAREX_ WET_MEADOW","WET",70.456021,-157.414293,1,"North America-West",11.6074801788379,81.3157667440521,7.07675307711002,18
"11",11,"ATQASUK:RATE_CAREX_ WET_MEADOW:22",9,21,0,0.380952380952381,0.784180914600984,0,"ATQASUK:RATE_CAREX_ WET_MEADOW","WET",70.456021,-157.414293,1,"North America-West",15.4010338712795,72.4172637411395,12.181702387581,17
"12",12,"ATQASUK:RATE_DRYAS_HEATH:5",9,23,-2,0.285714285714286,0.526405903916603,2,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",0,65.9045930361144,34.0954069638856,19
"13",13,"ATQASUK:RATE_DRYAS_HEATH:16",9,22,-2,0.2,0.318149574087939,2,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",65.9349896166452,24.9669132183477,9.09809716500716,19
