"","SiteSubsitePlot","YEAR","SPECIES_NAME","RelCover"
"1","ALEXFIORD:CASSIOPE_COVER:ALL",1981,"Cassiope tetragona",62.1508379888268
"2","ALEXFIORD:CASSIOPE_COVER:ALL",1981,"Dryas integrifolia",22.9050279329609
"3","ALEXFIORD:CASSIOPE_COVER:ALL",1981,"Luzula arctica",3.91061452513966
"4","ALEXFIORD:CASSIOPE_COVER:ALL",1981,"Luzula confusa",2.93296089385475
"5","ALEXFIORD:CASSIOPE_COVER:ALL",1981,"Oxyria digyna",1.67597765363128
"6","ALEXFIORD:CASSIOPE_COVER:ALL",1981,"Salix arctica",6.42458100558659
"7","ALEXFIORD:CASSIOPE_COVER:ALL",2007,"Cassiope tetragona",66.1730680240629
"8","ALEXFIORD:CASSIOPE_COVER:ALL",2007,"Dryas integrifolia",22.8289372204226
"9","ALEXFIORD:CASSIOPE_COVER:ALL",2007,"Luzula arctica",2.1749190189727
"10","ALEXFIORD:CASSIOPE_COVER:ALL",2007,"Luzula confusa",0.154249575813667
"11","ALEXFIORD:CASSIOPE_COVER:ALL",2007,"Oxyria digyna",1.41909609748573
"12","ALEXFIORD:CASSIOPE_COVER:ALL",2007,"Salix arctica",7.24973006324233
"13","ATQASUK:RATE_BETULA_SHRUB:56",2000,"Cassiope tetragona",5.97307541497843
"14","ATQASUK:RATE_BETULA_SHRUB:50",2000,"Betula nana",36.8112768616643
"15","ATQASUK:RATE_BETULA_SHRUB:9",2000,"Rubus chamaemorus",5.72118985693261
"16","ATQASUK:RATE_BETULA_SHRUB:31",2009,"Carex bigelowii",4.97409738785276
"17","ATQASUK:RATE_BETULA_SHRUB:48",2009,"Carex bigelowii",16.8901048114526
"18","ATQASUK:RATE_BETULA_SHRUB:54",2009,"Poa arctica",1.85177298003974
"19","ATQASUK:RATE_BETULA_SHRUB:9",2000,"Cassiope tetragona",10.9907068304232
"20","ATQASUK:RATE_BETULA_SHRUB:48",2009,"Vaccinium vitis-idaea",14.6628382429094
"21","ATQASUK:RATE_BETULA_SHRUB:42",2009,"Cassiope tetragona",19.6839314512845
"22","ATQASUK:RATE_BETULA_SHRUB:56",2009,"Cassiope tetragona",9.38150842146739
"23","ATQASUK:RATE_BETULA_SHRUB:48",2000,"Ledum palustre",3.24700859502275
"24","ATQASUK:RATE_BETULA_SHRUB:42",2009,"Betula nana",30.9511785883005
"25","ATQASUK:RATE_BETULA_SHRUB:42",2000,"Pedicularis lapponica",2.37276622669688
"26","ATQASUK:RATE_BETULA_SHRUB:54",2009,"Eriophorum angustifolium",1.85177298003974
"27","ATQASUK:RATE_BETULA_SHRUB:9",2000,"Betula nana",18.1207396896255
"28","ATQASUK:RATE_BETULA_SHRUB:50",2009,"Vaccinium vitis-idaea",17.3957736177279
"29","ATQASUK:RATE_BETULA_SHRUB:48",2000,"Vaccinium vitis-idaea",4.97724846918712
"30","ATQASUK:RATE_BETULA_SHRUB:56",2009,"Vaccinium vitis-idaea",12.5086778952899
"31","ATQASUK:RATE_BETULA_SHRUB:42",2009,"Vaccinium vitis-idaea",12.5085522993468
"32","ATQASUK:RATE_BETULA_SHRUB:9",2009,"Polygonum viviparum",1.55038759689922
"33","ATQASUK:RATE_BETULA_SHRUB:56",2000,"Salix pulchra",8.12965625408443
"34","ATQASUK:RATE_BETULA_SHRUB:48",2009,"Eriophorum vaginatum",25.984776633004
"35","ATQASUK:RATE_BETULA_SHRUB:54",2000,"Cassiope tetragona",0.14677206067753
"36","ATQASUK:RATE_BETULA_SHRUB:9",2009,"Vaccinium vitis-idaea",11.7829457364341
"37","ATQASUK:RATE_BETULA_SHRUB:56",2000,"Carex aquatilis",48.4903934126258
"38","ATQASUK:RATE_BETULA_SHRUB:54",2009,"Betula nana",7.93614346055631
"39","ATQASUK:RATE_BETULA_SHRUB:9",2009,"Carex aquatilis",18.6046511627907
"40","ATQASUK:RATE_BETULA_SHRUB:50",2009,"Salix pulchra",5.43617925553996
"41","ATQASUK:RATE_BETULA_SHRUB:48",2009,"Betula nana",20.416610211646
"42","ATQASUK:RATE_BETULA_SHRUB:54",2009,"Eriophorum vaginatum",0.462943245009935
"43","ATQASUK:RATE_BETULA_SHRUB:48",2000,"Cassiope tetragona",5.68507387225437
"44","ATQASUK:RATE_BETULA_SHRUB:42",2009,"Petasites frigidus",0.509065437307573
"45","ATQASUK:RATE_BETULA_SHRUB:9",2000,"Ledum palustre",2.04921477923861
"46","ATQASUK:RATE_BETULA_SHRUB:31",2009,"Cassiope tetragona",2.48704869392638
"47","ATQASUK:RATE_BETULA_SHRUB:9",2009,"Eriophorum vaginatum",0.387596899224806
"48","ATQASUK:RATE_BETULA_SHRUB:54",2009,"Vaccinium vitis-idaea",32.0356725546875
"49","ATQASUK:RATE_BETULA_SHRUB:42",2009,"Pedicularis sudetica",2.03626174923029
"50","ATQASUK:RATE_BETULA_SHRUB:9",2009,"Betula nana",11.7386046511628
"51","ATQASUK:RATE_BETULA_SHRUB:9",2009,"Ledum palustre",3.35922480620155
"52","ATQASUK:RATE_BETULA_SHRUB:44",2009,"Betula nana",14.1671087766402
"53","ATQASUK:RATE_BETULA_SHRUB:31",2000,"Ledum palustre",0.370519798107879
"54","ATQASUK:RATE_BETULA_SHRUB:44",2009,"Rubus chamaemorus",4.68978535438656
"55","ATQASUK:RATE_BETULA_SHRUB:42",2000,"Petasites frigidus",2.47163148614258
"56","ATQASUK:RATE_BETULA_SHRUB:50",2009,"Ledum palustre",5.56427540672505
"57","ATQASUK:RATE_BETULA_SHRUB:56",2009,"Carex aquatilis",21.2647524219928
"58","ATQASUK:RATE_BETULA_SHRUB:48",2009,"Cassiope tetragona",10.1051084214805
"59","ATQASUK:RATE_BETULA_SHRUB:44",2009,"Pedicularis lapponica",0.87933475394748
"60","ATQASUK:RATE_BETULA_SHRUB:9",2009,"Cassiope tetragona",12.9198449612403
"61","ATQASUK:RATE_BETULA_SHRUB:56",2009,"Salix pulchra",11.8138208382065
"62","ATQASUK:RATE_BETULA_SHRUB:56",2009,"Vaccinium uliginosum",6.25433894764493
"63","ATQASUK:RATE_BETULA_SHRUB:54",2000,"Pedicularis langsdorffii",0.085662913133622
"64","ATQASUK:RATE_BETULA_SHRUB:9",2000,"Salix pulchra",9.35966586243801
"65","ATQASUK:RATE_BETULA_SHRUB:54",2009,"Polygonum viviparum",11.1106378802384
"66","ATQASUK:RATE_BETULA_SHRUB:50",2000,"Vaccinium vitis-idaea",6.43764064021327
"67","ATQASUK:RATE_BETULA_SHRUB:54",2009,"Carex aquatilis",21.8509211644689
"68","ATQASUK:RATE_BETULA_SHRUB:31",2000,"Eriophorum scheuchzeri",2.92760043144972
"69","ATQASUK:RATE_BETULA_SHRUB:42",2000,"Cassiope tetragona",7.62495405673238
"70","ATQASUK:RATE_BETULA_SHRUB:9",2000,"Salix arctica",16.3104096798518
"71","ATQASUK:RATE_BETULA_SHRUB:44",2009,"Pedicularis kanei",4.3966737697374
"72","ATQASUK:RATE_BETULA_SHRUB:44",2009,"Carex aquatilis",1.02589054627206
"73","ATQASUK:RATE_BETULA_SHRUB:44",2000,"Eriophorum vaginatum",7.62094102054341
"74","ATQASUK:RATE_BETULA_SHRUB:42",2000,"Saxifraga punctata",0.232624139872243
"75","ATQASUK:RATE_BETULA_SHRUB:44",2000,"Salix pulchra",5.55555555555556
"76","ATQASUK:RATE_BETULA_SHRUB:42",2000,"Vaccinium vitis-idaea",0.552482332196577
"77","ATQASUK:RATE_BETULA_SHRUB:44",2009,"Vaccinium vitis-idaea",28.5783795032931
"78","ATQASUK:RATE_BETULA_SHRUB:44",2000,"Pedicularis lapponica",0.607466313231721
"79","ATQASUK:RATE_BETULA_SHRUB:31",2009,"Luzula wahlenbergii",2.48704869392638
"80","ATQASUK:RATE_BETULA_SHRUB:56",2000,"Vaccinium vitis-idaea",4.06482812704222
"81","ATQASUK:RATE_BETULA_SHRUB:9",2009,"Salix arctica",6.2015503875969
"82","ATQASUK:RATE_BETULA_SHRUB:50",2000,"Cassiope tetragona",4.43848888475569
"83","ATQASUK:RATE_BETULA_SHRUB:54",2000,"Calamagrostis holmii",0.247739787340167
"84","ATQASUK:RATE_BETULA_SHRUB:54",2000,"Betula nana",8.47820605564126
"85","ATQASUK:RATE_BETULA_SHRUB:42",2009,"Eriophorum vaginatum",9.57043022138238
"86","ATQASUK:RATE_BETULA_SHRUB:31",2000,"Salix ovalifolia",2.32604095478835
"87","ATQASUK:RATE_BETULA_SHRUB:54",2000,"Pedicularis capitata",3.22061723542217
"88","ATQASUK:RATE_BETULA_SHRUB:9",2000,"Eriophorum vaginatum",0.0627323449225067
"89","ATQASUK:RATE_BETULA_SHRUB:42",2009,"Pedicularis capitata",4.58158893576816
"90","ATQASUK:RATE_BETULA_SHRUB:42",2000,"Salix pulchra",1.66326260008654
"91","ATQASUK:RATE_BETULA_SHRUB:31",2000,"Carex bigelowii",0.494026397477172
"92","ATQASUK:RATE_BETULA_SHRUB:31",2009,"Salix pulchra",8.39378934200153
"93","ATQASUK:RATE_BETULA_SHRUB:48",2000,"Pedicularis lapponica",0.224706477164204
"94","ATQASUK:RATE_BETULA_SHRUB:9",2009,"Rubus chamaemorus",10.5426356589147
"95","ATQASUK:RATE_BETULA_SHRUB:54",2009,"Salix pulchra",16.1104249263457
"96","ATQASUK:RATE_BETULA_SHRUB:31",2009,"Eriophorum scheuchzeri",12.4352434696319
"97","ATQASUK:RATE_BETULA_SHRUB:31",2009,"Vaccinium vitis-idaea",17.9619630772751
