"","SiteSubsitePlot","mat","warmq","coldq","prec"
"1","ALEXFIORD:CASSIOPE_COVER:ALL",-14.6,3.5,-28.6,130
"2","ATQASUK:RATE_BETULA_SHRUB:56",-11.1,8,-28.1,138
"3","ATQASUK:RATE_BETULA_SHRUB:50",-11.1,8,-28.1,138
"4","ATQASUK:RATE_BETULA_SHRUB:9",-11.1,8,-28.1,138
"5","ATQASUK:RATE_BETULA_SHRUB:31",-11.1,8,-28.1,138
"6","ATQASUK:RATE_BETULA_SHRUB:48",-11.1,8,-28.1,138
"7","ATQASUK:RATE_BETULA_SHRUB:54",-11.1,8,-28.1,138
"8","ATQASUK:RATE_BETULA_SHRUB:42",-11.1,8,-28.1,138
"9","ATQASUK:RATE_BETULA_SHRUB:44",-11.1,8,-28.1,138
"10","ATQASUK:RATE_CAREX_ WET_MEADOW:18",-11.1,8,-28.1,138
"11","ATQASUK:RATE_CAREX_ WET_MEADOW:22",-11.1,8,-28.1,138
"12","ATQASUK:RATE_CAREX_ WET_MEADOW:19",-11.1,8,-28.1,138
"13","ATQASUK:RATE_DRYAS_HEATH:5",-11.1,8,-28.1,138
"14","ATQASUK:RATE_DRYAS_HEATH:16",-11.1,8,-28.1,138
"15","ATQASUK:RATE_DRYAS_HEATH:19",-11.1,8,-28.1,138
"16","ATQASUK:RATE_DRYAS_HEATH:1",-11.1,8,-28.1,138
"17","ATQASUK:RATE_DRYAS_HEATH:17",-11.1,8,-28.1,138
"18","ATQASUK:RATE_DRYAS_HEATH:14",-11.1,8,-28.1,138
"19","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:46",-11.1,8,-28.1,138
"20","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:45",-11.1,8,-28.1,138
"21","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:13",-11.1,8,-28.1,138
"22","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:55",-11.1,8,-28.1,138
"23","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:24",-11.1,8,-28.1,138
"24","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:32",-11.1,8,-28.1,138
"25","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:38",-11.1,8,-28.1,138
"26","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:59",-11.1,8,-28.1,138
"27","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:51",-11.1,8,-28.1,138
"28","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:8",-11.1,8,-28.1,138
"29","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:53",-11.1,8,-28.1,138
"30","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:49",-11.1,8,-28.1,138
"31","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:58",-11.1,8,-28.1,138
"32","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:28",-11.1,8,-28.1,138
"33","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:25",-11.1,8,-28.1,138
"34","BARROW:ARCTOPHILA_POND_ORDINATION:21",-10.9,3.7,-24.7,117
"35","BARROW:CAREX WET MEADOW_ORDINATION:16",-10.9,3.7,-24.7,117
"36","BARROW:CAREX WET MEADOW_ORDINATION:12",-10.9,3.7,-24.7,117
"37","BARROW:CAREX_MESIC MEADOW_ORDINATION:17",-10.9,3.7,-24.7,117
"38","BARROW:CAREX_MESIC MEADOW_ORDINATION:20",-10.9,3.7,-24.7,117
"39","BARROW:CAREX_MESIC MEADOW_ORDINATION:19",-10.9,3.7,-24.7,117
"40","BARROW:CAREX_MESIC MEADOW_ORDINATION:24",-10.9,3.7,-24.7,117
"41","BARROW:CAREX_MESIC MEADOW_ORDINATION:4",-10.9,3.7,-24.7,117
"42","BARROW:CAREX_MESIC MEADOW_ORDINATION:22",-10.9,3.7,-24.7,117
"43","BARROW:CAREX_MESIC MEADOW_ORDINATION:18",-10.9,3.7,-24.7,117
"44","BARROW:CAREX_MESIC MEADOW_ORDINATION:23",-10.9,3.7,-24.7,117
"45","BARROW:CAREX_MESIC MEADOW_ORDINATION:6",-10.9,3.7,-24.7,117
"46","BARROW:CAREX_MESIC MEADOW_ORDINATION:3",-10.9,3.7,-24.7,117
"47","BARROW:CAREX_MESIC MEADOW_ORDINATION:13",-10.9,3.7,-24.7,117
"48","BARROW:CAREX_MOIST MEADOW_ORDINATION:2",-10.9,3.7,-24.7,117
"49","BARROW:CAREX_MOIST MEADOW_ORDINATION:9",-10.9,3.7,-24.7,117
"50","BARROW:CAREX_MOIST MEADOW_ORDINATION:14",-10.9,3.7,-24.7,117
"51","BARROW:CAREX_MOIST MEADOW_ORDINATION:15",-10.9,3.7,-24.7,117
"52","BARROW:CAREX_MOIST MEADOW_ORDINATION:1",-10.9,3.7,-24.7,117
"53","BARROW:CAREX_MOIST MEADOW_ORDINATION:5",-10.9,3.7,-24.7,117
"54","BARROW:CAREX_MOIST MEADOW_ORDINATION:8",-10.9,3.7,-24.7,117
"55","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB01.5",-10.9,3.7,-24.7,117
"56","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB02.0",-10.9,3.7,-24.7,117
"57","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB00.5",-10.9,3.7,-24.7,117
"58","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB01.0",-10.9,3.7,-24.7,117
"59","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB02.5",-10.9,3.7,-24.7,117
"60","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC03.5",-10.9,3.7,-24.7,117
"61","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB28.0",-10.9,3.7,-24.7,117
"62","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB28.5",-10.9,3.7,-24.7,117
"63","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB29.0",-10.9,3.7,-24.7,117
"64","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC29.0",-10.9,3.7,-24.7,117
"65","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC18.0",-10.9,3.7,-24.7,117
"66","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC18.5",-10.9,3.7,-24.7,117
"67","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB31.0",-10.9,3.7,-24.7,117
"68","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB08.0",-10.9,3.7,-24.7,117
"69","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB08.5",-10.9,3.7,-24.7,117
"70","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB09.0",-10.9,3.7,-24.7,117
"71","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB09.5",-10.9,3.7,-24.7,117
