"","SiteSubsitePlot","LAT","LONG","mat","warmq","coldq","prec","ID","WarmQSlope","PrecSlope"
"1","ALEXFIORD:CASSIOPE_COVER:ALL",78.87448,-75.78341,-14.6,3.5,-28.6,130,1,0.0436227049413513,-0.509243697478998
"2","ATQASUK:RATE_BETULA_SHRUB:56",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"3","ATQASUK:RATE_BETULA_SHRUB:50",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"4","ATQASUK:RATE_BETULA_SHRUB:9",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"5","ATQASUK:RATE_BETULA_SHRUB:31",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"6","ATQASUK:RATE_BETULA_SHRUB:48",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"7","ATQASUK:RATE_BETULA_SHRUB:54",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"8","ATQASUK:RATE_BETULA_SHRUB:42",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"9","ATQASUK:RATE_BETULA_SHRUB:44",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"10","ATQASUK:RATE_CAREX_ WET_MEADOW:18",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"11","ATQASUK:RATE_CAREX_ WET_MEADOW:22",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"12","ATQASUK:RATE_CAREX_ WET_MEADOW:19",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"13","ATQASUK:RATE_DRYAS_HEATH:5",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"14","ATQASUK:RATE_DRYAS_HEATH:16",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"15","ATQASUK:RATE_DRYAS_HEATH:19",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"16","ATQASUK:RATE_DRYAS_HEATH:1",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"17","ATQASUK:RATE_DRYAS_HEATH:17",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"18","ATQASUK:RATE_DRYAS_HEATH:14",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"19","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:46",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"20","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:45",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"21","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:13",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"22","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:55",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"23","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:24",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"24","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:32",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"25","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:38",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"26","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:59",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"27","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:51",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"28","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:8",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"29","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:53",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"30","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:49",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"31","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:58",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"32","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:28",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"33","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:25",70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073
"34","BARROW:ARCTOPHILA_POND_ORDINATION:21",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"35","BARROW:CAREX WET MEADOW_ORDINATION:16",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"36","BARROW:CAREX WET MEADOW_ORDINATION:12",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"37","BARROW:CAREX_MESIC MEADOW_ORDINATION:17",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"38","BARROW:CAREX_MESIC MEADOW_ORDINATION:20",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"39","BARROW:CAREX_MESIC MEADOW_ORDINATION:19",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"40","BARROW:CAREX_MESIC MEADOW_ORDINATION:24",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"41","BARROW:CAREX_MESIC MEADOW_ORDINATION:4",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"42","BARROW:CAREX_MESIC MEADOW_ORDINATION:22",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"43","BARROW:CAREX_MESIC MEADOW_ORDINATION:18",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"44","BARROW:CAREX_MESIC MEADOW_ORDINATION:23",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"45","BARROW:CAREX_MESIC MEADOW_ORDINATION:6",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"46","BARROW:CAREX_MESIC MEADOW_ORDINATION:3",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"47","BARROW:CAREX_MESIC MEADOW_ORDINATION:13",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"48","BARROW:CAREX_MOIST MEADOW_ORDINATION:2",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"49","BARROW:CAREX_MOIST MEADOW_ORDINATION:9",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"50","BARROW:CAREX_MOIST MEADOW_ORDINATION:14",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"51","BARROW:CAREX_MOIST MEADOW_ORDINATION:15",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"52","BARROW:CAREX_MOIST MEADOW_ORDINATION:1",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"53","BARROW:CAREX_MOIST MEADOW_ORDINATION:5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"54","BARROW:CAREX_MOIST MEADOW_ORDINATION:8",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"55","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB01.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"56","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB02.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"57","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB00.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"58","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB01.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"59","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB02.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"60","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC03.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"61","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB28.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"62","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB28.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"63","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:AB29.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"64","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC29.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"65","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC18.0",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
"66","BARROW:CAREX_MOIST_MEADOW_MICROTOPO:BC18.5",71.29,-156.64,-10.9,3.7,-24.7,117,3,0.0276284097623437,1.74929971988796
