"","Cassiope tetragona","Dryas integrifolia","Luzula arctica","Luzula confusa","Oxyria digyna","Salix arctica","Betula nana","Rubus chamaemorus","Carex bigelowii","Poa arctica","Vaccinium vitis-idaea","Ledum palustre","Pedicularis lapponica","Eriophorum angustifolium","Polygonum viviparum","Salix pulchra","Eriophorum vaginatum","Carex aquatilis","Petasites frigidus","Pedicularis sudetica","Vaccinium uliginosum","Pedicularis langsdorffii","Eriophorum scheuchzeri","Pedicularis kanei","Saxifraga punctata","Luzula wahlenbergii","Calamagrostis holmii","Salix ovalifolia","Pedicularis capitata","Pyrola grandiflora","Arctagrostis latifolia","Saxifraga foliolosa","Carex rariflora","Comarum palustre","Epilobium palustre","Dupontia fisheri","Hippuris vulgaris","Juncus biglumis","Juncus albescens","Saxifraga cernua","Carex chordorrhiza","Caltha palustris","Hierochloe pauciflora","Saxifraga hirculus","Minuartia arctica","Bromus pumpellianus","Salix lanata","Packera hyperborealis","Achillea lanulosa","Stellaria laeta","Saxifraga hieraciifolia","Salix reticulata","Draba nivalis","Erigeron eriocephalus","Kobresia sibirica","Koeleria asiatica","Festuca brachyphylla","Salix glauca","Empetrum nigrum","Salix alaxensis","Poa glauca","Arctostaphylos rubra","Astragalus alpinus","Salix niphoclada","Elymus arenarius","Androsace septentrionalis","Lupinus arcticus","Stellaria edwardsii","Saussurea angustifolia","Carex maritima","Lagotis glauca","Potentilla hookeriana","Tofieldia pusilla","Tofieldia coccinea","Poa lanata","Antennaria friesiana","Polygonum bistorta","Bupleurum americanum","Tephroseris atropurpurea","Artemisia glomerata","Artemisia borealis","Luzula multiflora","Carex obtusata","Cardamine pratensis","Stellaria monantha","Alopecurus alpinus","Artemisia arctica","Salix phlebophylla","Anemone parviflora","Diapensia lapponica","Hierochloe alpina","Carex scirpoidea","Salix rotundifolia","Calamagrostis inexpansa","Cochlearia officinalis","Arnica lessingii","Eriophorum russeolum","Arctophila fulva","Ranunculus pallasii","Draba micropetala","Senecio atropurpureus","Ranunculus nivalis","Potentilla hyparctica","Cerastium gorodkovianum","Poa alpina","Saxifraga flagellaris","Papaver hultenii","Papaver macounii","Rumex arcticus","Eutrema edwardsii","Salix polaris","Deschampsia flexuosa","Calluna vulgaris","Empetrum hermaphroditum","Phyllodoce caerulea","Vaccinium myrtillus","Juniperus communis","Trientalis europaea","Arctostaphylos alpina","Hieracium alpinum","Solidago virgaurea","Juncus trifidus","Diphasiastrum alpinum","Festuca ovina","Cassiope hypnoides","Andromeda polifolia","Diphasiastrum complanatum","Loiseleuria procumbens","Betula pubescens","Salix herbacea","Bistorta vivipara","Rumex acetosa","Calamagrostis lapponica","Carex lachenalii","Luzula spicata","Agrostis mertensii","Carex brunnescens","Poa pratensis","Gnaphalium supinum","Sibbaldia procumbens","Vahlodea atropurpurea","Phleum alpinum","XXXCarex:SWEDEN","Rhodiola rosea","XXXTaraxacum:SWEDEN","Viola biflora","Antennaria dioica","Gentiana nivalis","Ranunculus acris","Veronica alpina","Anthoxanthum odoratum","Antennaria alpina","Pyrola minor","Androsace chamaejasme","Potentilla robbinsiana","Leymus mollis","Rhododendron lapponicum","Salix hastata","Salix myrsinites","Carex vaginata","Chamorchis alpina","Astragalus frigidus","Bartsia alpina","Carex parallela","Pinguicula vulgaris","Calamagrostis stricta","XXXFestuca:THUFUVER","Luzula arcuata","Minuartia biflora","Minuartia stricta","Pedicularis flammea","Cerastium alpinum","Deschampsia alpina","Euphrasia frigida","Kobresia myosuroides","Koenigia islandica","Arabis petraea","Armeria maritima","Thymus praecox","Salix phylicifolia","Silene acaulis","XXXSagina:THUFUVER","XXXMinuartia:THUFUVER","Saxifraga nivalis","Thalictrum alpinum","Festuca richardsonii","Dryas octopetala","Oxytropis nigrescens","Pedicularis lanata","XXXCarex microchaeta&rupestris:WOLFCREEK","Linnaea borealis","Arctous alpina","Lysimachia europaea","Saussurea alpina","Deschampsia cespitosa","XXXHepatica:ABISKO","Orthilia secunda","Persicaria vivipara","Equisetum arvense","Luzula nivalis","Luzula parviflora","Carex rupestris","XXXLuzula spicata/confusa:DISKO","XXXPoa:DISKO","Stellaria longipes","Festuca rubra","Cerastium arcticum","Carex microglochin","Carex norvegica","Carex capillaris","Saxifraga tricuspidata","Carex fuliginosa","Potentilla crantzii","Pyrola rotundifolia","Saxifraga aizoides","Festuca vivipara","Taraxacum croceum","Trisetum spicatum","Cerastium cerastoides","Parnassia palustris","Rumex alpestris","Trollius europaeus","Gymnadenia conopsea","Pinguicula villosa","Vaccinium microcarpum","Pseudorchis albida","Alopecurus magellanicus","XXXDUPONTIA:SADVENT","XXXWOODYDRYAS:SADVENT","Stellaria crassipes","XXXWOODYSALIX:SADVENT","Pedicularis dasyantha","Saxifraga oppositifolia","Harrimanella hypnoides","Potentilla uniflora","XXXFORB:KANGER","XXXGRAMINOID:KANGER","XXXPOLYGONUM:KANGER","XXXSTELLARIA:KANGER","XXXCAMPANULA:KANGER","XXXPOA:SADVENT","Carex supina","Carex nardina","Lesquerella arctica","Arenaria pseudofrigida","XXXDryas:ZACKENBERG","XXXLuzula:ZACKENBERG","Dupontia psilosantha","Eriophorum triste","Pedicularis hirsuta","XXXFestuca:ZACKENBERG","Papaver radicatum","Ledum decumbens","Pyrola secunda","Salix chamissonis","Arnica alpina","XXXPedicularis:TOOLIK","XXXEriophorum:TOOLIK","Polemonium acutiflorum","Carex microchaeta","XXXGentiana:TOOLIK","XXXCalamagrostis:TOOLIK","XXXUNKDIC:TOOLIK","XXXUNKGRA:TOOLIK","Valeriana capitata","Salix fuscescens","Carex rotundata","Pedicularis labradorica","XXXStellaria:TOOLIK","Oxytropis maydelliana","Cardamine hyperborea","Carex misandra","Epilobium latifolium","XXXCarex:TOOLIK","XXXArnica:TOOLIK","XXXTofieldia:TOOLIK","Ranunculus lapponicus","XXXAnemone:TOOLIK","XXXUNKFOR:TOOLIK","Geum glaciale","Oxycoccus microcarpus","XXXAntennaria:ANWR","Arnica frigida","XXXCOMP:ANWR","Douglasia ochotensis","Salix planifolia","XXXCalamagrostis:ANWR","Oxytropis borealis","Astragalus umbellatus","Boykinia richardsonii","Carex krausei","Hedysarum alpinum","XXXUNIFOR:ANWR","XXXTofieldia:ANWR","XXXSenecio:ANWR","XXXCardamine:ANWR","XXXLuzula:ANWR","XXXSEDGE:ANWR","XXXGRAMINOID:ANWR","XXXPedicularis:ANWR","XXXPoa:ANWR","Festuca altaica","XXXCarex:BROOKS","Potentilla fruticosa","Salix arbusculoides","Gentiana propinqua","XXXDraba:ENDALEN","Saxifraga cespitosa","Ranunculus pygmaeus","Alopecurus borealis","Poa tolmatchewii","Salix arctica/arctophila","XXXSALIX:AUYUITTUQ","XXXGRAMINOID:AUYUITTUQ","Persicaria bistorta","Minuartia obtusiloba","XXXEriophorum scheuchzeri/chamissonis:ATQASUK","Papaver lapponicum","Tephroseris integrifolia","XXXEriophorum scheuchzeri/chamissonis:BARROW","XXXGRASS:BARROW","Cerastium beeringianum","XXXGRAMINOID:BARROW","Carex subspathacea","Stellaria humifusa","Draba lactea","Silene uralensis","Chrysosplenium tetrandrum","Coptidium pallasii","XXXDraba:BYLOT","Cardamine bellidifolia","XXXLuzula:BYLOT","XXXRanunculaceae:BYLOT","XXXSaxifraga:BYLOT","Carex membranacea","Carex amblyorhyncha","Carex atrofusca","XXXDraba:ALEXFIORD","Braya purpurascens","Kobresia simpliciuscula","Melandrium affine","Galium verum","Galium boreale","Galium normanii","Avenella flexuosa","Agrostis vinealis","XXXluzula:QHI","XXXothergram:QHI","Festuca baffinensis","XXXotherherb:QHI","XXXcarex:QHI","Saxifraga nelsoniana","XXXotherforb:QHI","Cardamine digitata","Oxytropis campestris","Pedicularis verticillata","XXXkobresia:QHI","Lagotis minor"
"ABISKO:ABISKODRY_PADDUS:Begin",27.6644670319969,0,0,0,0,0,11.7258490560634,0,0,0,6.52173913043478,0,0.793650793650794,0,0,0,0,0,0,0,10.7306116474715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93310334483276,0,0,0,0,0,0,12.7275591430918,0,0,0,0.8,0,0,0,0,0,0,0,0,0,2.10914454277286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,4.65534851621808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7385080745963,0,0,8.23410398838236,1.76991150442478,1.9077750874361,1.9968253968254,1.88220398503884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556,0,0,0,0,0,9.59636056292423,0,0,0,0,4.17189489731863,0,0,0,0,0,1.57996909678326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABISKO:ABISKODRY_PADDUS:End",22.4164695446481,0,0,0,0,0,14.3312168483926,0,0,0,12.5,0,0,0,0,0,0,0,0,0,8.20370144904009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27327295988374,0,0,0,0,0,0,12.5646476476128,0,0,0,8.67008344832118,0,0,0,0,0,0,0,0,0,1.93987230873689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35974945533769,0,0,0,0,0,0,0,0,1.17647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89648001917108,4.35855263157895,1.04166666666667,4.26065916379036,0,1.38888888888889,1.2073931386077,1.62851534266378,1.12359550561798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2957516339869,0,0,0,0,0,14.9058597418861,0,0,0,0,3.95902181097158,0,0,0,0,0,3.50184185886063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABISKO:ABISKOWET_FLUX:Begin",0,0,0,0,0,0,1.58730158730159,0,0,0,0,0,1.11731843575419,0,0,0,0,0,0,0,13.2558110100687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06139562743336,0,0,0,0,0,0,19.8485377698662,0,0,0,0.680272108843537,0,0,0,0,0,0,0,0,0,3.95353712411641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9275643218181,0,0,0,0,0,0,1.25786163522013,0,17.2565062758316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13227551772026,0,7.82122905027933,19.8538982295702,0,0,0,10.6323760806775,0.725758180367119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58926124847913,0,0,0,0,0,1.84109669458041,0,0,0,3.77358490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABISKO:ABISKOWET_FLUX:End",0,0,0,0,0,0,8.69565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3292356100793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52456698480028,0,0,0,0,0,0,27.5896266373554,0,0,0,3.70557011355238,0,0,0,0,0,0,0,0,0,1.83653285229991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7604811136292,0,14.8089247054103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55193497788497,9.16030534351145,0,17.3225219425711,0,0,1.52671755725191,1.75003961433917,1.5311046766693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60733615690758,0,4.8780487804878,0,0,0,0.813008130081301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991435486873953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABISKO:ABISKOWET_MULTE:Begin",0,0,0,0,0,0,4.74351917988804,1.16279069767442,0,0,0.869565217391304,0,0,0,2.70442760271241,0,0,0,0,0,13.7495575122932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30488459473967,0,0,0,0,0,0,16.5630314934434,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93031364032561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1944833535867,0,0,0,0,0.869565217391304,0,9.05691396847941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.09190597077537,1.73913043478261,1.91626409017713,26.958813914207,0,0,1.04011094516748,12.2057055060645,1.3522138013562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABISKO:ABISKOWET_MULTE:End",0,0,0,0,0,0,9.24531876028264,0,0,0,0,0,0,0,2.27537168713639,0,0,0,0,0,13.3782115335263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4705882352941,0,0,0,0,0,0,24.1496388028896,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55166196033069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94427244582043,0,0,0,0,0,0,8.59776494193419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7728975530833,0,1.4161220043573,16.7738959431426,0.964912280701754,0.87719298245614,2.24332198016409,9.48179166703419,1.17647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABISKO:PEATLAND:Begin",0,0,0,0,0,0,6.90740087218891,6.21308397798598,0,0,0,0,0,0,0,0,2.42759500334033,0,0,0,7.30984179696032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8309360651614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8309360651614,0,0,0,0,0,0,0,0,0,0,0,5.10684293518363,0,0,0,0,0,0,1.7042516499509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259469920030696,16.2474280322604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABISKO:PEATLAND:End",0,0,0,0,0,0,7.69684136319015,12.3842298170354,0,0,0,0,0,0,0,0,1.53081603667834,0,0,0,7.67982756050964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2995143255491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8768838273544,0,0,0,0,0,0,2.00115748708569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15512465373961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608515895628198,20.5977916879585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABISKO:lower_forest:Begin",0,0,0,0,0,0,0,0,0,0,6.53604204295449,0,0,0,0,0,0,0,0,0,13.4065835598094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39782836211408,29.2786738351254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4135030356229,0,0,0,27.5461532834805,0,0,0,0,0.641025641025641,0,0,0,0,0,0,0,0,0,0,0,4.15338933340085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58653846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87803069945927,0,0.641025641025641,0,0,0.830716902145474,0.641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABISKO:lower_forest:End",0,0,0,0,0,0,0,0,0,0,15.2324218369059,0,0,0,0,0,0,0,0,0,24.679380413058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8717516519547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81463564608699,0,0,0,14.9654195610733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46531100478469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
