"","SiteSubsitePlotYear","SiteSubsitePlot","YEAR","LAT","LONG","SiteSubsite","RelCover","MOISTURE","SurveyedArea","Region","PlotShrubMean","PlotGraminoidMean","PlotForbMean","AnnualRichness","MeanRichness","Duration","LogPlotSize","Shannon","PilouEvenness"
"1","ABISKO:ABISKODRY_PADDUS:CTL_1:2008","ABISKO:ABISKODRY_PADDUS:CTL_1",2008,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",19.3333333333333,"MOIST",0.25,"Eurasia",69.7368421052632,22.5614035087719,7.70175438596491,11,12,6,-1.38629436111989,1.85036534849414,0.771662286291071
"2","ABISKO:ABISKODRY_PADDUS:CTL_1:2014","ABISKO:ABISKODRY_PADDUS:CTL_1",2014,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",5.26315789473684,"MOIST",0.25,"Eurasia",69.7368421052632,22.5614035087719,7.70175438596491,13,12,6,-1.38629436111989,2.0320886254977,0.792252922883751
"3","ABISKO:ABISKODRY_PADDUS:CTL_2:2008","ABISKO:ABISKODRY_PADDUS:CTL_2",2008,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",9.32203389830508,"MOIST",0.25,"Eurasia",92.2242045792447,3.0107047279215,4.76509069283378,12,11,6,-1.38629436111989,1.73476281939414,0.698119915105119
"4","ABISKO:ABISKODRY_PADDUS:CTL_2:2014","ABISKO:ABISKODRY_PADDUS:CTL_2",2014,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",6.14035087719298,"MOIST",0.25,"Eurasia",92.2242045792447,3.0107047279215,4.76509069283378,10,11,6,-1.38629436111989,1.89155605812652,0.821492358255016
"5","ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",2008,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",7.9646017699115,"MOIST",0.25,"Eurasia",82.9770309237347,4.01710251566073,13.0058665606046,12,14,6,-1.38629436111989,1.59411387242053,0.641518615017805
"6","ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",2014,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",6.74157303370786,"MOIST",0.25,"Eurasia",82.9770309237347,4.01710251566073,13.0058665606046,15,14,6,-1.38629436111989,2.32160437763933,0.857297393044784
"7","ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",2008,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",3.2,"MOIST",0.25,"Eurasia",79.8117647058824,7.97647058823529,12.2117647058824,16,14,6,-1.38629436111989,2.2628682454995,0.816157198991811
"8","ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",2014,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",1.17647058823529,"MOIST",0.25,"Eurasia",79.8117647058824,7.97647058823529,12.2117647058824,12,14,6,-1.38629436111989,1.98222900234056,0.797707633206129
"9","ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",2008,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",7.14285714285714,"MOIST",0.25,"Eurasia",79.0178571428571,5.20833333333333,15.7738095238095,14,14,6,-1.38629436111989,2.17363745057315,0.82364161861161
"10","ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",2014,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",2.77777777777778,"MOIST",0.25,"Eurasia",79.0178571428571,5.20833333333333,15.7738095238095,14,14,6,-1.38629436111989,2.25504288173755,0.854488023595268
"11","ABISKO:ABISKODRY_PADDUS:CTL_6:2008","ABISKO:ABISKODRY_PADDUS:CTL_6",2008,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",3.6231884057971,"MOIST",0.25,"Eurasia",94.4972826086957,4.46105072463768,1.04166666666667,7,9,6,-1.38629436111989,1.5521153436023,0.79762950224388
"12","ABISKO:ABISKODRY_PADDUS:CTL_6:2014","ABISKO:ABISKODRY_PADDUS:CTL_6",2014,68.1933,18.5115,"ABISKO:ABISKODRY_PADDUS",3.125,"MOIST",0.25,"Eurasia",94.4972826086957,4.46105072463768,1.04166666666667,11,9,6,-1.38629436111989,1.65254182919842,0.689163470959215
"13","ABISKO:ABISKOWET_FLUX:1_CTL:2006","ABISKO:ABISKOWET_FLUX:1_CTL",2006,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",12.6984126984127,"",0.0484,"Eurasia",48.0305627343924,43.7306525923764,8.23878467323112,10,10,6,-3.02825546525955,1.89670791330986,0.823729780532704
"14","ABISKO:ABISKOWET_FLUX:1_CTL:2007","ABISKO:ABISKOWET_FLUX:1_CTL",2007,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",19.0184049079755,"",0.0484,"Eurasia",48.0305627343924,43.7306525923764,8.23878467323112,12,10,6,-3.02825546525955,2.00508524520785,0.806905661980869
"15","ABISKO:ABISKOWET_FLUX:1_CTL:2010","ABISKO:ABISKOWET_FLUX:1_CTL",2010,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",12.3287671232877,"",0.0484,"Eurasia",48.0305627343924,43.7306525923764,8.23878467323112,9,10,6,-3.02825546525955,1.96465419725291,0.894152658548329
"16","ABISKO:ABISKOWET_FLUX:1_CTL:2012","ABISKO:ABISKOWET_FLUX:1_CTL",2012,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",13.0434782608696,"",0.0484,"Eurasia",48.0305627343924,43.7306525923764,8.23878467323112,9,10,6,-3.02825546525955,1.84680885182435,0.840518930506097
"17","ABISKO:ABISKOWET_FLUX:2_CTL:2006","ABISKO:ABISKOWET_FLUX:2_CTL",2006,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",28.8288288288288,"",0.0484,"Eurasia",41.270800367259,54.8623105440653,3.86688908867566,9,9,6,-3.02825546525955,1.78148835014141,0.810790289038718
"18","ABISKO:ABISKOWET_FLUX:2_CTL:2007","ABISKO:ABISKOWET_FLUX:2_CTL",2007,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",20.3947368421053,"",0.0484,"Eurasia",41.270800367259,54.8623105440653,3.86688908867566,11,9,6,-3.02825546525955,1.65147436805154,0.688718305084379
"19","ABISKO:ABISKOWET_FLUX:2_CTL:2010","ABISKO:ABISKOWET_FLUX:2_CTL",2010,68.20462,18.49582,"ABISKO:ABISKOWET_FLUX",8.69565217391304,"",0.0484,"Eurasia",41.270800367259,54.8623105440653,3.86688908867566,8,9,6,-3.02825546525955,1.69427195922246,0.814772584495824
