"","SiteSubsitePlot","ShrubChange","GramChange","ForbChange","ShrubTrend","GramTrend","ForbTrend"
"1","ABISKO:ABISKODRY_PADDUS:CTL_1",6.14035087719297,-13.5438596491228,7.40350877192982,"Increase","Decrease","Increase"
"2","ABISKO:ABISKODRY_PADDUS:CTL_2",-1.99226880761226,-0.758251561106156,2.75052036871841,"Decrease","Decrease","Increase"
"3","ABISKO:ABISKODRY_PADDUS:CTL_3",-19.8866461171324,0.954559013622353,18.93208710351,"Decrease","Increase","Increase"
"4","ABISKO:ABISKODRY_PADDUS:CTL_4",-1.97647058823529,-11.2470588235294,13.2235294117647,"Decrease","Decrease","Increase"
"5","ABISKO:ABISKODRY_PADDUS:CTL_5",-3.86904761904762,-0.694444444444445,4.56349206349206,"Decrease","Decrease","Increase"
"6","ABISKO:ABISKODRY_PADDUS:CTL_6",0.588768115942045,-2.67210144927536,2.08333333333333,"Increase","Decrease","Increase"
"7","ABISKO:ABISKOWET_FLUX:1_CTL",24.4996549344375,-16.1490683229814,-8.35058661145618,"Increase","Decrease","Decrease"
"8","ABISKO:ABISKOWET_FLUX:2_CTL",-8.98703581630411,11.0525159305647,-2.0654801142606,"Decrease","Increase","Decrease"
"9","ABISKO:ABISKOWET_FLUX:3_CTL",22.4240558292282,-17.8366174055829,-4.58743842364532,"Increase","Decrease","Decrease"
"10","ABISKO:ABISKOWET_FLUX:4_CTL",7.48859226406243,-6.63141285342659,-0.857179410635848,"Increase","Decrease","Decrease"
"11","ABISKO:ABISKOWET_FLUX:5_CTL",-5.65019396188228,0.252993759487268,5.39720020239501,"Decrease","Increase","Increase"
"12","ABISKO:ABISKOWET_FLUX:6_CTL",-1.56465715600552,-3.42077005675717,4.98542721276269,"Decrease","Decrease","Increase"
"13","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1",-6.29156010230179,4.14322250639385,2.14833759590793,"Decrease","Increase","Increase"
"14","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2",6.70430486944248,-10.7168061296502,4.01250126020768,"Increase","Decrease","Increase"
"15","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3",12.5925925925926,-11.6666666666667,-0.925925925925926,"Increase","Decrease","Decrease"
"16","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4",20.1110574601642,-22.7023981973282,2.59134073716401,"Increase","Decrease","Increase"
"17","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl5",17.2705018359853,-19.1554467564259,1.88494492044064,"Increase","Decrease","Increase"
"18","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl6",6.88832054560955,-6.01875532821824,-0.869565217391304,"Increase","Decrease","Decrease"
"19","ABISKO:PEATLAND:AA1",1.42314151860693,-0.801170013580515,-0.621971505026399,"Increase","Decrease","Decrease"
"20","ABISKO:PEATLAND:AA2",-7.32868907093251,0.632135715667935,6.69655335526457,"Decrease","Increase","Increase"
"21","ABISKO:PEATLAND:AA3",-7.31040916966546,2.91050246568039,4.39990670398507,"Decrease","Increase","Increase"
"22","ABISKO:PEATLAND:AA4",-17.6763268156425,-1.97858472998138,19.6549115456238,"Decrease","Decrease","Increase"
"23","ABISKO:PEATLAND:AA5",-6.09923245614036,-0.437875115420129,6.53710757156048,"Decrease","Decrease","Increase"
"24","ABISKO:lower_forest:ALFc1",24.2897327707454,-24.2897327707454,NA,"Increase","Decrease",NA
"25","ABISKO:lower_forest:ALFc2",17.5806451612903,-17.5806451612903,NA,"Increase","Decrease",NA
"26","ABISKO:lower_forest:ALFc3",16.1842105263158,-16.1842105263158,NA,"Increase","Decrease",NA
"27","ABISKO:lower_forest:ALFc4",40.7931354359926,-39.7727272727273,-1.02040816326531,"Increase","Decrease","Decrease"
"28","ABISKO:lower_forest:ALFc5",49.587136027814,-47.0230334637114,-2.56410256410256,"Increase","Decrease","Decrease"
"29","ABISKO:lower_tundra:ALTc1",2.16012821406173,-2.16012821406174,NA,"Increase","Decrease",NA
"30","ABISKO:lower_tundra:ALTc2",-5.55555555555556,NA,5.55555555555556,"Decrease",NA,"Increase"
"31","ABISKO:lower_tundra:ALTc3",6.42857142857142,-6.42857142857143,NA,"Increase","Decrease",NA
"32","ABISKO:lower_tundra:ALTc4",4.87804878048782,-1.21951219512195,-3.65853658536585,"Increase","Decrease","Decrease"
"33","ABISKO:lower_tundra:ALTc5",-2.5,2.5,NA,"Decrease","Increase",NA
"34","ABISKO:upper_forest:AUFc1",-17.347515060241,17.347515060241,NA,"Decrease","Increase",NA
"35","ABISKO:upper_forest:AUFc3",27.4103932890293,-30.395467915895,2.98507462686567,"Increase","Decrease","Increase"
"36","ABISKO:upper_forest:AUFc5",-31.2971911809121,31.5690123829659,-0.27182120205376,"Decrease","Increase","Decrease"
"37","ABISKO:upper_tundra:AUTc1",-7.1090047393365,7.10900473933649,NA,"Decrease","Increase",NA
"38","ABISKO:upper_tundra:AUTc2",-1.73913043478261,1.73913043478261,NA,"Decrease","Increase",NA
"39","ABISKO:upper_tundra:AUTc3",-8.33333333333334,8.33333333333333,NA,"Decrease","Increase",NA
"40","ABISKO:upper_tundra:AUTc4",-2.89017341040461,1.15606936416185,1.73410404624277,"Decrease","Increase","Increase"
"41","ABISKO:upper_tundra:AUTc5",-1.81286549707602,-3.18713450292398,5,"Decrease","Decrease","Increase"
"42","ALEXFIORD:CASSIOPE:Cas.c.c.10new",-21.3636363636364,7.27272727272727,14.0909090909091,"Decrease","Increase","Increase"
"43","ALEXFIORD:CASSIOPE:Cas.c.c.11new",-31.2865497076023,22.8070175438597,8.47953216374269,"Decrease","Increase","Increase"
"44","ALEXFIORD:CASSIOPE:Cas.c.c.12",-21.7261904761905,11.3095238095238,10.4166666666667,"Decrease","Increase","Increase"
"45","ALEXFIORD:CASSIOPE:Cas.c.c.12new",0.371057513914664,2.78293135435993,-3.15398886827458,"Increase","Increase","Decrease"
"46","ALEXFIORD:CASSIOPE:Cas.c.c.13",-10.2870813397129,1.91387559808613,8.37320574162679,"Decrease","Increase","Increase"
"47","ALEXFIORD:CASSIOPE:Cas.c.c.13new",-10.5769230769231,0.721153846153846,9.85576923076923,"Decrease","Increase","Increase"
"48","ALEXFIORD:CASSIOPE:Cas.c.c.14new",1.06837606837607,-6.83760683760684,5.76923076923077,"Increase","Decrease","Increase"
"49","ALEXFIORD:CASSIOPE:Cas.c.c.15new",4.01258851298191,-6.45161290322581,2.4390243902439,"Increase","Decrease","Increase"
"50","ALEXFIORD:CASSIOPE:Cas.c.c.16",15.2046783625731,-3.89863547758285,-11.3060428849903,"Increase","Decrease","Decrease"
"51","ALEXFIORD:CASSIOPE:Cas.c.c.16new",-12.2222222222222,9.16666666666666,3.05555555555556,"Decrease","Increase","Increase"
"52","ALEXFIORD:CASSIOPE:Cas.c.c.17new",23.8628872775214,-12.1951219512195,-11.6677653263019,"Increase","Decrease","Decrease"
"53","ALEXFIORD:CASSIOPE:Cas.c.c.18new",13.0718954248366,-7.6797385620915,-5.3921568627451,"Increase","Decrease","Decrease"
"54","ALEXFIORD:CASSIOPE:Cas.c.c.1new",-16.5120593692022,23.5621521335807,-7.05009276437848,"Decrease","Increase","Decrease"
