"","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","STATUS","TISSUE","ValueType","ORIGINAL_NAME","GENUS","GFNARROWwalker","SPECIES_NAME","TREATMENT","RelCover","MOISTURE","LAT","LONG","ELEV","AZONE","SurveyedArea","AlpArc","lat_grid","lon_grid","gridcell","Region","Method","FuncGroup","PlotYearFuncCover","PlotYearDominatingFG","ShrubCover","GraminoidCover","ForbCover","DominatingFG","PlotShrubMean","PlotForbMean","PlotGraminoidMean","AnnualRichness","MeanRichness","Richness","Duration"
"1","ALEXFIORD:CASSIOPE_COVER:ALL:1981","ALEXFIORD:CASSIOPE_COVER:ALL","ALEXFIORD:CASSIOPE_COVER","ALEXFIORD","CASSIOPE_COVER","ALL",1981,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",62.1508379888268,"MOIST",78.87448,-75.78341,30,"HIGH","0.25","Arctic",78.5,-75.5,"_78.5_-75.5","North America-East","Cover","Shrub",91.4804469273743,"Shrub-Dominated",91.4804469273743,6.84357541899441,1.67597765363128,"Shrub-Dominated",93.8660911175511,1.54753687555851,4.58637200689039,6,6,6,26
"2","ALEXFIORD:CASSIOPE_COVER:ALL:2007","ALEXFIORD:CASSIOPE_COVER:ALL","ALEXFIORD:CASSIOPE_COVER","ALEXFIORD","CASSIOPE_COVER","ALL",2007,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",66.1730680240629,"MOIST",78.87448,-75.78341,30,"HIGH","0.25","Arctic",78.5,-75.5,"_78.5_-75.5","North America-East","Cover","Shrub",96.2517353077279,"Shrub-Dominated",96.2517353077279,2.32916859478636,1.41909609748573,"Shrub-Dominated",93.8660911175511,1.54753687555851,4.58637200689039,6,6,6,26
"3","ATQASUK:RATE_BETULA_SHRUB:56:2000","ATQASUK:RATE_BETULA_SHRUB:56","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","56",2000,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",5.97307541497843,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",22.1670369886289,"None",22.1670369886289,77.636910207816,0.196052803555091,"Graminoid-Dominated",36.9000745634207,3.22519587560001,59.8747295609792,7,8,7,9
"4","ATQASUK:RATE_BETULA_SHRUB:50:2000","ATQASUK:RATE_BETULA_SHRUB:50","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","50",2000,"LIVE",NA,"percent_cover","Betula nana","Betula","SDECI","Betula nana","CTL",36.8112768616643,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",51.571154612999,"Shrub-Dominated",51.571154612999,46.385731455923,2.04311393107802,"Shrub-Dominated",55.7540804133583,2.33941860324567,41.906500983396,9,9,9,9
"5","ATQASUK:RATE_BETULA_SHRUB:9:2000","ATQASUK:RATE_BETULA_SHRUB:9","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","9",2000,"LIVE",NA,"percent_cover","Rubus chamaemorus","Rubus","FORB","Rubus chamaemorus","CTL",5.72118985693261,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",8.03915000181924,"None",61.2220009861525,30.7388490120283,8.03915000181924,"Shrub-Dominated",60.5888299504406,12.6629858536228,26.7481841959366,12,12,12,9
"6","ATQASUK:RATE_BETULA_SHRUB:31:2009","ATQASUK:RATE_BETULA_SHRUB:31","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","31",2009,"LIVE",NA,"percent_cover","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",4.97409738785276,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",52.5043336823492,"Graminoid-Dominated",41.0293397134422,52.5043336823492,6.46632660420858,"Graminoid-Dominated",25.3211350155094,3.738963995388,70.9399009891026,12,12,12,9
"7","ATQASUK:RATE_BETULA_SHRUB:48:2009","ATQASUK:RATE_BETULA_SHRUB:48","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","48",2009,"LIVE",NA,"percent_cover","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",16.8901048114526,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",42.8748814444566,"None",57.1251185555434,42.8748814444566,0,"Shrub-Dominated",50.0950574520316,0.210662322341441,49.694280225627,7,8,7,9
"8","ATQASUK:RATE_BETULA_SHRUB:54:2009","ATQASUK:RATE_BETULA_SHRUB:54","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","54",2009,"LIVE",NA,"percent_cover","Poa arctica","Poa","GRASS","Poa arctica","CTL",1.85177298003974,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",28.4863792838453,"None",60.4029828359162,28.4863792838453,11.1106378802384,"Shrub-Dominated",55.5773677286392,8.034258305531,36.3883739658298,10,10,10,9
"9","ATQASUK:RATE_BETULA_SHRUB:42:2009","ATQASUK:RATE_BETULA_SHRUB:42","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","42",2009,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",19.6839314512845,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",69.2524475866226,"Shrub-Dominated",69.2524475866226,15.2719631192272,15.4755892941502,"Shrub-Dominated",65.8912571283505,14.0855258638389,20.0232170078105,10,10,10,9
"10","ATQASUK:RATE_BETULA_SHRUB:56:2009","ATQASUK:RATE_BETULA_SHRUB:56","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","56",2009,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",9.38150842146739,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",51.6331121382126,"Shrub-Dominated",51.6331121382126,42.1125489141425,6.25433894764493,"Shrub-Dominated",36.9000745634207,3.22519587560001,59.8747295609792,8,8,8,9
"11","ATQASUK:RATE_BETULA_SHRUB:48:2000","ATQASUK:RATE_BETULA_SHRUB:48","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","48",2000,"LIVE",NA,"percent_cover","Ledum palustre","Ledum","SEVER","Ledum palustre","CTL",3.24700859502275,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",43.0649963485197,"None",43.0649963485197,56.5136790067974,0.421324644682883,"Graminoid-Dominated",50.0950574520316,0.210662322341441,49.694280225627,9,8,9,9
"12","ATQASUK:RATE_BETULA_SHRUB:42:2000","ATQASUK:RATE_BETULA_SHRUB:42","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","42",2000,"LIVE",NA,"percent_cover","Pedicularis lapponica","Pedicularis","FORB","Pedicularis lapponica","CTL",2.37276622669688,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",12.6954624335277,"None",62.5300666700785,24.7744708963939,12.6954624335277,"Shrub-Dominated",65.8912571283505,14.0855258638389,20.0232170078105,11,10,11,9
"13","ATQASUK:RATE_BETULA_SHRUB:50:2009","ATQASUK:RATE_BETULA_SHRUB:50","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","50",2009,"LIVE",NA,"percent_cover","Vaccinium vitis-idaea","Vaccinium","SEVER","Vaccinium vitis-idaea","CTL",17.3957736177279,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",59.9370062137176,"Shrub-Dominated",59.9370062137176,37.4272705108691,2.63572327541331,"Shrub-Dominated",55.7540804133583,2.33941860324567,41.906500983396,9,9,9,9
"14","ATQASUK:RATE_BETULA_SHRUB:9:2009","ATQASUK:RATE_BETULA_SHRUB:9","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","9",2009,"LIVE",NA,"percent_cover","Polygonum viviparum","Polygonum","FORB","Polygonum viviparum","CTL",1.55038759689922,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",17.2868217054264,"None",59.9556589147287,22.757519379845,17.2868217054264,"Shrub-Dominated",60.5888299504406,12.6629858536228,26.7481841959366,13,12,13,9
"15","ATQASUK:RATE_BETULA_SHRUB:54:2000","ATQASUK:RATE_BETULA_SHRUB:54","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","54",2000,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",0.14677206067753,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",50.7517526213622,"Shrub-Dominated",50.7517526213622,44.2903686478142,4.95787873082356,"Shrub-Dominated",55.5773677286392,8.034258305531,36.3883739658298,9,10,9,9
"16","ATQASUK:RATE_BETULA_SHRUB:44:2009","ATQASUK:RATE_BETULA_SHRUB:44","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","44",2009,"LIVE",NA,"percent_cover","Betula nana","Betula","SDECI","Betula nana","CTL",14.1671087766402,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",81.9736375440767,"Shrub-Dominated",81.9736375440767,7.327789616229,10.6985728396943,"Shrub-Dominated",80.1628735544549,10.8164832389327,9.0206432066124,11,10,11,9
"17","ATQASUK:RATE_BETULA_SHRUB:31:2000","ATQASUK:RATE_BETULA_SHRUB:31","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","31",2000,"LIVE",NA,"percent_cover","Ledum palustre","Ledum","SEVER","Ledum palustre","CTL",0.370519798107879,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",9.61293031757664,"None",9.61293031757664,89.3754682958559,1.01160138656742,"Graminoid-Dominated",25.3211350155094,3.738963995388,70.9399009891026,13,12,13,9
"18","ATQASUK:RATE_BETULA_SHRUB:44:2000","ATQASUK:RATE_BETULA_SHRUB:44","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","44",2000,"LIVE",NA,"percent_cover","Eriophorum vaginatum","Eriophorum","SEDGE","Eriophorum vaginatum","CTL",7.62094102054341,"MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",10.7134967969958,"None",78.3521095648332,10.7134967969958,10.934393638171,"Shrub-Dominated",80.1628735544549,10.8164832389327,9.0206432066124,9,10,9,9
"19","ATQASUK:RATE_CAREX_ WET_MEADOW:18:2009","ATQASUK:RATE_CAREX_ WET_MEADOW:18","ATQASUK:RATE_CAREX_ WET_MEADOW","ATQASUK","RATE_CAREX_ WET_MEADOW","18",2009,"LIVE",NA,"percent_cover","Carex rariflora","Carex","SEDGE","Carex rariflora","CTL",2.43843558254158,"WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",74.2586208473166,"Graminoid-Dominated",12.5734978099253,74.2586208473166,13.1678813427581,"Graminoid-Dominated",11.6074801788379,7.07675307711002,81.3157667440521,18,18,18,9
"20","ATQASUK:RATE_CAREX_ WET_MEADOW:22:2000","ATQASUK:RATE_CAREX_ WET_MEADOW:22","ATQASUK:RATE_CAREX_ WET_MEADOW","ATQASUK","RATE_CAREX_ WET_MEADOW","22",2000,"LIVE",NA,"percent_cover","Dryas integrifolia","Dryas","SEVER","Dryas integrifolia","CTL",0.423217724358296,"WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",4.86700383012041,"None",4.86700383012041,85.476014135472,9.6569820344076,"Graminoid-Dominated",15.4010338712795,12.181702387581,72.4172637411395,17,17,17,9
"21","ATQASUK:RATE_CAREX_ WET_MEADOW:22:2009","ATQASUK:RATE_CAREX_ WET_MEADOW:22","ATQASUK:RATE_CAREX_ WET_MEADOW","ATQASUK","RATE_CAREX_ WET_MEADOW","22",2009,"LIVE",NA,"percent_cover","Saxifraga foliolosa","Saxifraga","FORB","Saxifraga foliolosa","CTL",1.24975158703078,"WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",14.7064227407544,"None",25.9350639124386,59.358513346807,14.7064227407544,"Graminoid-Dominated",15.4010338712795,12.181702387581,72.4172637411395,17,17,17,9
"22","ATQASUK:RATE_CAREX_ WET_MEADOW:18:2000","ATQASUK:RATE_CAREX_ WET_MEADOW:18","ATQASUK:RATE_CAREX_ WET_MEADOW","ATQASUK","RATE_CAREX_ WET_MEADOW","18",2000,"LIVE",NA,"percent_cover","Eriophorum scheuchzeri","Eriophorum","SEDGE","Eriophorum scheuchzeri","CTL",2.4640620286548,"WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",88.3729126407875,"Graminoid-Dominated",10.6414625477505,88.3729126407875,0.985624811461921,"Graminoid-Dominated",11.6074801788379,7.07675307711002,81.3157667440521,17,18,17,9
"23","ATQASUK:RATE_DRYAS_HEATH:5:2009","ATQASUK:RATE_DRYAS_HEATH:5","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","5",2009,"LIVE",NA,"percent_cover","Minuartia arctica","Minuartia","FORB","Minuartia arctica","CTL",6.40547879597753,"DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",32.3759532534416,"None",0,67.6240467465584,32.3759532534416,"Graminoid-Dominated",0,34.0954069638856,65.9045930361144,18,19,18,9
"24","ATQASUK:RATE_DRYAS_HEATH:16:2000","ATQASUK:RATE_DRYAS_HEATH:16","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","16",2000,"LIVE",NA,"percent_cover","Luzula confusa","Luzula","RUSH","Luzula confusa","CTL",0.0717877666466857,"DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",29.6823271679606,"None",57.4993688658849,29.6823271679606,12.8183039661545,"Shrub-Dominated",65.9349896166452,9.09809716500716,24.9669132183477,20,19,20,9
"25","ATQASUK:RATE_DRYAS_HEATH:19:2000","ATQASUK:RATE_DRYAS_HEATH:19","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","19",2000,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",26.2741415619554,"DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",50.5206575175337,"Shrub-Dominated",50.5206575175337,40.1705652436903,9.30877723877592,"Shrub-Dominated",52.6999451980178,16.3495623308557,30.9504924711265,17,16,17,9
"26","ATQASUK:RATE_DRYAS_HEATH:1:2000","ATQASUK:RATE_DRYAS_HEATH:1","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","1",2000,"LIVE",NA,"percent_cover","Luzula confusa","Luzula","RUSH","Luzula confusa","CTL",0.0388453601526288,"DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",21.8678551475535,"None",76.0812184947378,21.8678551475535,2.05092635770872,"Shrub-Dominated",69.8981334060363,12.1850792128132,17.9167873811506,21,18,21,9
"27","ATQASUK:RATE_DRYAS_HEATH:17:2000","ATQASUK:RATE_DRYAS_HEATH:17","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","17",2000,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",6.40928183251801,"DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",39.5190355670426,"None",39.5190355670426,54.8515282410844,5.62943619187303,"Graminoid-Dominated",47.870046911464,9.34178975812362,42.7881633304123,20,18,20,9
"28","ATQASUK:RATE_DRYAS_HEATH:17:2009","ATQASUK:RATE_DRYAS_HEATH:17","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","17",2009,"LIVE",NA,"percent_cover","Polygonum viviparum","Polygonum","FORB","Polygonum viviparum","CTL",0.674565266668825,"DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",13.0541433243742,"None",56.2210582558855,30.7247984197403,13.0541433243742,"Shrub-Dominated",47.870046911464,9.34178975812362,42.7881633304123,16,18,16,9
"29","ATQASUK:RATE_DRYAS_HEATH:14:2009","ATQASUK:RATE_DRYAS_HEATH:14","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","14",2009,"LIVE",NA,"percent_cover","Bromus pumpellianus","Bromus","GRASS","Bromus pumpellianus","CTL",3.03797852908675,"DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",32.911180900229,"None",63.2913459384126,32.911180900229,3.79747316135843,"Shrub-Dominated",69.1224695258523,6.09828249576386,24.7792479783839,10,14,10,9
"30","ATQASUK:RATE_DRYAS_HEATH:1:2009","ATQASUK:RATE_DRYAS_HEATH:1","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","1",2009,"LIVE",NA,"percent_cover","Salix lanata","Salix","SDECI","Salix lanata","CTL",1.07198559323397,"DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",63.7150483173347,"Shrub-Dominated",63.7150483173347,13.9657196147476,22.3192320679176,"Shrub-Dominated",69.8981334060363,12.1850792128132,17.9167873811506,14,18,14,9
"31","ATQASUK:RATE_DRYAS_HEATH:14:2000","ATQASUK:RATE_DRYAS_HEATH:14","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","14",2000,"LIVE",NA,"percent_cover","Packera hyperborealis","Packera","FORB","Packera hyperborealis","CTL",0.81350717735196,"DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",8.39909183016928,"None",74.953593113292,16.6473150565387,8.39909183016928,"Shrub-Dominated",69.1224695258523,6.09828249576386,24.7792479783839,17,14,17,9
"32","ATQASUK:RATE_DRYAS_HEATH:19:2009","ATQASUK:RATE_DRYAS_HEATH:19","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","19",2009,"LIVE",NA,"percent_cover","Saxifraga hieraciifolia","Saxifraga","FORB","Saxifraga hieraciifolia","CTL",1.88414043629156,"DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",23.3903474229355,"None",54.8792328785018,21.7304196985626,23.3903474229355,"Shrub-Dominated",52.6999451980178,16.3495623308557,30.9504924711265,15,16,15,9
"33","ATQASUK:RATE_DRYAS_HEATH:16:2009","ATQASUK:RATE_DRYAS_HEATH:16","ATQASUK:RATE_DRYAS_HEATH","ATQASUK","RATE_DRYAS_HEATH","16",2009,"LIVE",NA,"percent_cover","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",7.34764140710832,"DRY",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",20.2514992687347,"None",74.3706103674054,20.2514992687347,5.37789036385987,"Shrub-Dominated",65.9349896166452,9.09809716500716,24.9669132183477,18,19,18,9
"34","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:46:2000","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:46","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","ATQASUK","RATE_ERIOPHORUM_WET_MEADOW","46",2000,"LIVE",NA,"percent_cover","Salix pulchra","Salix","SDECI","Salix pulchra","CTL",0.209614309670207,"WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",0.209614309670207,"None",0.209614309670207,98.951928451649,0.838457238680827,"Graminoid-Dominated",0.104807154835103,7.60679911336252,92.2883937318024,5,6,5,9
"35","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:45:2009","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:45","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","ATQASUK","RATE_ERIOPHORUM_WET_MEADOW","45",2009,"LIVE",NA,"percent_cover","Eriophorum vaginatum","Eriophorum","SEDGE","Eriophorum vaginatum","CTL",0.40551500405515,"WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",88.6455798864558,"Graminoid-Dominated",6.4882400648824,88.6455798864558,4.8661800486618,"Graminoid-Dominated",5.09883409735619,2.51036977703569,92.3907961256081,5,5,5,9
