"","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","STATUS","TISSUE","ValueType","ORIGINAL_NAME","GENUS","GFNARROWwalker","SPECIES_NAME","TREATMENT","RelCover","MOISTURE","LAT","LONG","ELEV","AZONE","SurveyedArea","AlpArc","lat_grid","lon_grid","gridcell","Region","Method","FuncGroup","PlotYearFuncCover","PlotYearDominatingFG","ShrubCover","GraminoidCover","ForbCover","DominatingFG","PlotShrubMean","PlotForbMean","PlotGraminoidMean","AnnualRichness","MeanRichness","NumYears","Duration","LogPlotSize","YearCentred","Slope"
"1","ALEXFIORD:CASSIOPE_COVER:ALL:1981","ALEXFIORD:CASSIOPE_COVER:ALL","ALEXFIORD:CASSIOPE_COVER","ALEXFIORD","CASSIOPE_COVER","ALL",1981,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",62.1508379888268,"MOIST",78.87448,-75.78341,30,"HIGH",0.25,"Arctic",78.5,-75.5,"_78.5_-75.5","North America-East","Cover","Shrub",91.4804469273743,"Shrub-Dominated",91.4804469273743,6.84357541899441,1.67597765363128,"Shrub-Dominated",93.8660911175511,1.54753687555851,4.58637200689039,6,6,2,26,-1.38629436111989,-22,4.83105371902696e-17
"2","ATQASUK:RATE_BETULA_SHRUB:56:2000","ATQASUK:RATE_BETULA_SHRUB:56","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","56",2000,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",5.97307541497843,"MOIST",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",22.1670369886289,"None",22.1670369886289,77.636910207816,0.196052803555091,"Graminoid-Dominated",36.9000745634207,3.22519587560001,59.8747295609792,7,8,2,9,0,-3,0.111111111111112
"3","ATQASUK:RATE_BETULA_SHRUB:50:2000","ATQASUK:RATE_BETULA_SHRUB:50","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","50",2000,"LIVE",NA,"percent_cover","Betula nana","Betula","SDECI","Betula nana","CTL",36.8112768616643,"MOIST",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",51.571154612999,"Shrub-Dominated",51.571154612999,46.385731455923,2.04311393107802,"Shrub-Dominated",55.7540804133583,2.33941860324567,41.906500983396,9,9,2,9,0,-3,2.79127548210452e-16
"4","ATQASUK:RATE_BETULA_SHRUB:9:2000","ATQASUK:RATE_BETULA_SHRUB:9","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","9",2000,"LIVE",NA,"percent_cover","Rubus chamaemorus","Rubus","FORB","Rubus chamaemorus","CTL",5.72118985693261,"MOIST",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Forb",8.03915000181924,"None",61.2220009861525,30.7388490120283,8.03915000181924,"Shrub-Dominated",60.5888299504406,12.6629858536228,26.7481841959366,12,12,2,9,0,-3,0.111111111111113
"5","ATQASUK:RATE_BETULA_SHRUB:31:2009","ATQASUK:RATE_BETULA_SHRUB:31","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","31",2009,"LIVE",NA,"percent_cover","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",4.97409738785276,"MOIST",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",52.5043336823492,"Graminoid-Dominated",41.0293397134422,52.5043336823492,6.46632660420858,"Graminoid-Dominated",25.3211350155094,3.738963995388,70.9399009891026,12,12,2,9,0,6,-0.11111111111112
"6","ATQASUK:RATE_BETULA_SHRUB:48:2009","ATQASUK:RATE_BETULA_SHRUB:48","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","48",2009,"LIVE",NA,"percent_cover","Carex bigelowii","Carex","SEDGE","Carex bigelowii","CTL",16.8901048114526,"MOIST",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",42.8748814444566,"None",57.1251185555434,42.8748814444566,0,"Shrub-Dominated",50.0950574520316,0.210662322341441,49.694280225627,7,8,2,9,0,6,-0.22222222222224
"7","ATQASUK:RATE_BETULA_SHRUB:54:2009","ATQASUK:RATE_BETULA_SHRUB:54","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","54",2009,"LIVE",NA,"percent_cover","Poa arctica","Poa","GRASS","Poa arctica","CTL",1.85177298003974,"MOIST",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",28.4863792838453,"None",60.4029828359162,28.4863792838453,11.1106378802384,"Shrub-Dominated",55.5773677286392,8.034258305531,36.3883739658298,10,10,2,9,0,6,0.11111111111112
"8","ATQASUK:RATE_BETULA_SHRUB:42:2009","ATQASUK:RATE_BETULA_SHRUB:42","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","42",2009,"LIVE",NA,"percent_cover","Cassiope tetragona","Cassiope","SEVER","Cassiope tetragona","CTL",19.6839314512845,"MOIST",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",69.2524475866226,"Shrub-Dominated",69.2524475866226,15.2719631192272,15.4755892941502,"Shrub-Dominated",65.8912571283505,14.0855258638389,20.0232170078105,10,10,2,9,0,6,-0.11111111111112
"9","ATQASUK:RATE_BETULA_SHRUB:44:2009","ATQASUK:RATE_BETULA_SHRUB:44","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","44",2009,"LIVE",NA,"percent_cover","Betula nana","Betula","SDECI","Betula nana","CTL",14.1671087766402,"MOIST",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Shrub",81.9736375440767,"Shrub-Dominated",81.9736375440767,7.327789616229,10.6985728396943,"Shrub-Dominated",80.1628735544549,10.8164832389327,9.0206432066124,11,10,2,9,0,6,0.22222222222224
"10","ATQASUK:RATE_CAREX_ WET_MEADOW:18:2009","ATQASUK:RATE_CAREX_ WET_MEADOW:18","ATQASUK:RATE_CAREX_ WET_MEADOW","ATQASUK","RATE_CAREX_ WET_MEADOW","18",2009,"LIVE",NA,"percent_cover","Carex rariflora","Carex","SEDGE","Carex rariflora","CTL",2.43843558254158,"WET",70.456021,-157.414293,29,"LOW",1,"Arctic",70,-157,"_70_-157","North America-West","Cover","Graminoid",74.2586208473166,"Graminoid-Dominated",12.5734978099253,74.2586208473166,13.1678813427581,"Graminoid-Dominated",11.6074801788379,7.07675307711002,81.3157667440521,18,18,2,9,0,6,0.11111111111112
