"","SPECIES_NAME","TimesInTrend","PropInTrend","FuncGroup"
"1","Carex bigelowii",59,11.4785992217899,"Graminoid"
"2","Betula nana",55,15.1933701657459,"Shrub"
"3","Poa arctica",53,21.031746031746,"Graminoid"
"4","Luzula confusa",51,23.5023041474654,"Graminoid"
"5","Arctagrostis latifolia",47,25,"Graminoid"
"6","Vaccinium vitis-idaea",47,8.7037037037037,"Shrub"
"7","Phyllodoce caerulea",47,39.8305084745763,"Shrub"
"8","Petasites frigidus",45,26.6272189349112,"Forb"
"9","Vaccinium myrtillus",41,20.6030150753769,"Shrub"
"10","Cassiope hypnoides",41,40.5940594059406,"Shrub"
"11","Silene acaulis",41,35.042735042735,"Forb"
"12","Stellaria longipes",41,33.3333333333333,"Forb"
"13","Empetrum nigrum",39,15.9836065573771,"Shrub"
"14","Polygonum bistorta",33,27.0491803278689,"Forb"
"15","Polygonum viviparum",31,40.2597402597403,"Forb"
"16","Salix arctica",30,10.5263157894737,"Shrub"
"17","Saxifraga punctata",30,52.6315789473684,"Forb"
"18","Empetrum hermaphroditum",30,14.7058823529412,"Shrub"
"19","Pinguicula vulgaris",30,83.3333333333333,"Forb"
"20","Saxifraga cernua",29,20.7142857142857,"Forb"
"21","Salix pulchra",29,15.5913978494624,"Shrub"
"22","Thalictrum alpinum",29,40.2777777777778,"Forb"
"23","Eriophorum angustifolium",28,17.3913043478261,"Graminoid"
"24","Saxifraga foliolosa",28,32.9411764705882,"Forb"
"25","Pedicularis lapponica",27,42.8571428571429,"Forb"
"26","Luzula arctica",26,21.1382113821138,"Graminoid"
"27","Rubus chamaemorus",26,21.8487394957983,"Forb"
"28","Salix lanata",25,80.6451612903226,"Shrub"
"29","Dupontia fisheri",25,11.6822429906542,"Graminoid"
"30","Cassiope tetragona",24,7.81758957654723,"Shrub"
"31","Ranunculus nivalis",24,42.8571428571429,"Forb"
"32","Bistorta vivipara",24,15.1898734177215,"Forb"
"33","Hierochloe pauciflora",23,34.8484848484849,"Graminoid"
"34","Eriophorum vaginatum",22,9.90990990990991,"Graminoid"
"35","Tofieldia pusilla",22,38.5964912280702,"Forb"
"36","Vaccinium uliginosum",21,11.864406779661,"Shrub"
"37","Luzula nivalis",20,24.390243902439,"Graminoid"
"38","Saxifraga hirculus",19,33.9285714285714,"Forb"
"39","Salix rotundifolia",19,19.5876288659794,"Shrub"
"40","Kobresia myosuroides",19,31.6666666666667,"Graminoid"
"41","Calluna vulgaris",18,17.6470588235294,"Shrub"
"42","Deschampsia flexuosa",17,9.13978494623656,"Graminoid"
"43","Trisetum spicatum",17,53.125,"Graminoid"
"44","Salix polaris",16,19.7530864197531,"Shrub"
"45","XXXFestuca:THUFUVER",16,30.188679245283,"Graminoid"
"46","Oxyria digyna",16,22.5352112676056,"Forb"
"47","Carex aquatilis",15,4.87012987012987,"Graminoid"
"48","Luzula spicata",15,60,"Graminoid"
"49","Salix herbacea",15,7.57575757575758,"Shrub"
"50","Pyrola grandiflora",15,31.9148936170213,"Forb"
"51","Senecio atropurpureus",14,45.1612903225806,"Forb"
"52","Eriophorum russeolum",14,10.2941176470588,"Graminoid"
"53","Solidago virgaurea",14,18.6666666666667,"Forb"
"54","Calamagrostis holmii",13,15.1162790697674,"Graminoid"
"55","Bartsia alpina",13,61.9047619047619,"Forb"
"56","Andromeda polifolia",13,22.4137931034483,"Shrub"
"57","Persicaria vivipara",13,19.1176470588235,"Forb"
"58","Pedicularis hirsuta",13,61.9047619047619,"Forb"
"59","Cardamine pratensis",11,25.5813953488372,"Forb"
"60","Juncus trifidus",11,26.8292682926829,"Graminoid"
"61","Salix glauca",11,23.9130434782609,"Shrub"
"62","Festuca richardsonii",11,16.1764705882353,"Graminoid"
"63","Saxifraga hieraciifolia",10,34.4827586206897,"Forb"
"64","Stellaria laeta",10,24.390243902439,"Forb"
"65","Diapensia lapponica",10,22.7272727272727,"Shrub"
"66","Potentilla hyparctica",10,32.258064516129,"Forb"
"67","Juniperus communis",10,43.4782608695652,"Shrub"
"68","Armeria maritima",10,10,"Forb"
"69","Astragalus alpinus",10,37.037037037037,"Forb"
"70","Dryas integrifolia",10,8.40336134453782,"Shrub"
"71","Hierochloe alpina",10,16.9491525423729,"Graminoid"
"72","XXXEriophorum scheuchzeri/chamissonis:BARROW",10,16.6666666666667,"Graminoid"
"73","Cochlearia officinalis",9,69.2307692307692,"Forb"
"74","Sibbaldia procumbens",9,50,"Forb"
"75","Viola biflora",9,39.1304347826087,"Forb"
"76","Saxifraga oppositifolia",9,26.4705882352941,"Forb"
"77","XXXPedicularis:TOOLIK",9,40.9090909090909,"Forb"
"78","Pedicularis sudetica",8,42.1052631578947,"Forb"
"79","Pedicularis capitata",8,23.5294117647059,"Forb"
"80","Diphasiastrum alpinum",8,42.1052631578947,"Forb"
"81","Agrostis mertensii",8,21.6216216216216,"Graminoid"
"82","Anthoxanthum odoratum",8,100,"Graminoid"
"83","Calamagrostis lapponica",8,8.79120879120879,"Graminoid"
"84","Pedicularis flammea",8,80,"Forb"
"85","Cerastium alpinum",8,42.1052631578947,"Forb"
"86","Salix reticulata",8,8.08080808080808,"Shrub"
"87","Saussurea alpina",8,88.8888888888889,"Forb"
"88","Ledum decumbens",8,5.83941605839416,"Shrub"
"89","Pedicularis kanei",7,53.8461538461538,"Forb"
"90","Trientalis europaea",7,9.85915492957746,"Forb"
"91","Rhodiola rosea",7,46.6666666666667,"Forb"
"92","Festuca ovina",7,22.5806451612903,"Graminoid"
"93","Minuartia stricta",7,100,"Forb"
"94","Alopecurus alpinus",7,14.2857142857143,"Graminoid"
"95","Saussurea angustifolia",7,29.1666666666667,"Forb"
"96","Carex misandra",7,29.1666666666667,"Graminoid"
"97","Luzula multiflora",6,16.2162162162162,"Graminoid"
"98","Arctostaphylos alpina",6,20,"Shrub"
"99","Luzula arcuata",6,54.5454545454545,"Graminoid"
"100","Deschampsia alpina",6,50,"Graminoid"
"101","Eriophorum scheuchzeri",6,75,"Graminoid"
"102","Pedicularis lanata",6,25,"Forb"
"103","Draba lactea",6,85.7142857142857,"Forb"
"104","Galium boreale",6,100,"Forb"
"105","Festuca brachyphylla",5,22.7272727272727,"Graminoid"
"106","Loiseleuria procumbens",5,38.4615384615385,"Shrub"
"107","Gnaphalium supinum",5,27.7777777777778,"Forb"
"108","Vahlodea atropurpurea",5,45.4545454545455,"Graminoid"
"109","XXXTaraxacum:SWEDEN",5,55.5555555555556,"Forb"
"110","Ranunculus acris",5,71.4285714285714,"Forb"
"111","Minuartia biflora",5,100,"Forb"
"112","Poa pratensis",5,20.8333333333333,"Graminoid"
"113","Euphrasia frigida",5,41.6666666666667,"Forb"
"114","Oxytropis nigrescens",5,33.3333333333333,"Forb"
"115","XXXLuzula spicata/confusa:DISKO",5,100,"Graminoid"
"116","Equisetum arvense",5,38.4615384615385,"Forb"
"117","Festuca rubra",5,27.7777777777778,"Graminoid"
"118","Carex microglochin",5,100,"Graminoid"
"119","Carex rupestris",5,20,"Graminoid"
"120","Rhododendron lapponicum",5,16.6666666666667,"Shrub"
"121","Papaver radicatum",5,22.7272727272727,"Forb"
"122","Salix phlebophylla",5,10.2040816326531,"Shrub"
"123","Calamagrostis inexpansa",5,19.2307692307692,"Graminoid"
"124","XXXEriophorum:TOOLIK",5,83.3333333333333,"Graminoid"
"125","XXXUNKGRA:TOOLIK",5,83.3333333333333,"Graminoid"
"126","XXXEriophorum scheuchzeri/chamissonis:ATQASUK",5,16.1290322580645,"Graminoid"
"127","Cardamine digitata",5,83.3333333333333,"Forb"
"128","XXXothergram:QHI",5,71.4285714285714,"Graminoid"
"129","Hieracium alpinum",4,5.19480519480519,"Forb"
"130","Calamagrostis stricta",4,30.7692307692308,"Graminoid"
"131","Juncus biglumis",4,14.8148148148148,"Graminoid"
"132","Arctous alpina",4,36.3636363636364,"Shrub"
"133","XXXPoa:DISKO",4,100,"Graminoid"
"134","Poa glauca",4,44.4444444444444,"Graminoid"
"135","Carex capillaris",4,50,"Graminoid"
"136","Festuca vivipara",4,50,"Graminoid"
"137","XXXDryas:ZACKENBERG",4,66.6666666666667,"Shrub"
"138","Festuca altaica",4,57.1428571428571,"Graminoid"
"139","Carex rariflora",4,30.7692307692308,"Graminoid"
"140","Eutrema edwardsii",4,50,"Forb"
"141","XXXDraba:ALEXFIORD",4,40,"Forb"
"142","Galium verum",4,80,"Forb"
"143","Arctostaphylos rubra",3,27.2727272727273,"Shrub"
"144","Poa alpina",3,21.4285714285714,"Graminoid"
"145","Betula pubescens",3,75,"Shrub"
"146","Rumex acetosa",3,20,"Forb"
"147","Antennaria alpina",3,60,"Forb"
"148","Veronica alpina",3,75,"Forb"
"149","Linnaea borealis",3,50,"Shrub"
"150","Cerastium arcticum",3,37.5,"Forb"
"151","Salix hastata",3,60,"Shrub"
"152","XXXDUPONTIA:SADVENT",3,100,"Graminoid"
"153","Stellaria crassipes",3,75,"Forb"
"154","XXXStellaria:TOOLIK",3,42.8571428571429,"Forb"
"155","XXXTofieldia:TOOLIK",3,75,"Forb"
"156","XXXLuzula:ANWR",3,60,"Graminoid"
"157","Persicaria bistorta",3,15.7894736842105,"Forb"
"158","Carex rotundata",3,15.7894736842105,"Graminoid"
"159","Papaver lapponicum",3,75,"Forb"
"160","Ledum palustre",3,3.26086956521739,"Shrub"
"161","Alopecurus borealis",3,37.5,"Graminoid"
"162","Festuca baffinensis",3,50,"Graminoid"
"163","Stellaria edwardsii",2,10.5263157894737,"Forb"
"164","Minuartia arctica",2,33.3333333333333,"Forb"
"165","Draba micropetala",2,50,"Forb"
"166","Carex lachenalii",2,4.34782608695652,"Graminoid"
"167","Carex brunnescens",2,8.69565217391304,"Graminoid"
"168","Phleum alpinum",2,66.6666666666667,"Graminoid"
"169","Gentiana nivalis",2,66.6666666666667,"Forb"
"170","Pyrola minor",2,66.6666666666667,"Forb"
"171","Salix myrsinites",2,40,"Shrub"
"172","Chamorchis alpina",2,66.6666666666667,"Forb"
"173","Salix phylicifolia",2,100,"Shrub"
"174","XXXMinuartia:THUFUVER",2,50,"Forb"
"175","Lysimachia europaea",2,66.6666666666667,"Forb"
"176","Gymnadenia conopsea",2,100,"Forb"
"177","Pinguicula villosa",2,40,"Forb"
"178","XXXWOODYSALIX:SADVENT",2,100,"Shrub"
"179","XXXLuzula:ZACKENBERG",2,28.5714285714286,"Graminoid"
"180","XXXFestuca:ZACKENBERG",2,100,"Graminoid"
"181","Antennaria friesiana",2,33.3333333333333,"Forb"
"182","XXXAnemone:TOOLIK",2,100,"Forb"
"183","XXXArnica:TOOLIK",2,66.6666666666667,"Forb"
"184","Arnica frigida",2,66.6666666666667,"Forb"
"185","XXXTofieldia:ANWR",2,100,"Forb"
"186","Oxytropis maydelliana",2,20,"Forb"
"187","Lupinus arcticus",2,12.5,"Forb"
"188","Anemone parviflora",2,33.3333333333333,"Forb"
"189","Minuartia obtusiloba",2,100,"Forb"
"190","Silene uralensis",2,100,"Forb"
"191","Cerastium beeringianum",2,10,"Forb"
"192","Coptidium pallasii",2,66.6666666666667,"Forb"
"193","XXXLuzula:BYLOT",2,100,"Graminoid"
"194","XXXDraba:BYLOT",2,66.6666666666667,"Forb"
"195","XXXSaxifraga:BYLOT",2,100,"Forb"
"196","Cardamine bellidifolia",2,40,"Forb"
"197","Pedicularis verticillata",2,33.3333333333333,"Forb"
"198","Astragalus umbellatus",2,12.5,"Forb"
"199","Juncus albescens",1,50,"Graminoid"
"200","Comarum palustre",1,50,"Forb"
"201","Elymus arenarius",1,100,"Graminoid"
"202","Potentilla hookeriana",1,100,"Forb"
"203","Tofieldia coccinea",1,100,"Forb"
"204","Caltha palustris",1,33.3333333333333,"Forb"
"205","Stellaria monantha",1,50,"Forb"
"206","Salix alaxensis",1,14.2857142857143,"Shrub"
"207","Artemisia glomerata",1,50,"Forb"
"208","Cerastium gorodkovianum",1,100,"Forb"
"209","Saxifraga flagellaris",1,50,"Forb"
"210","Astragalus frigidus",1,25,"Forb"
"211","Carex parallela",1,5.26315789473684,"Graminoid"
"212","Koenigia islandica",1,100,"Forb"
"213","Thymus praecox",1,100,"Forb"
"214","XXXSagina:THUFUVER",1,50,"Forb"
"215","Deschampsia cespitosa",1,100,"Graminoid"
"216","Carex norvegica",1,100,"Graminoid"
"217","Saxifraga tricuspidata",1,50,"Forb"
"218","Carex fuliginosa",1,50,"Graminoid"
"219","Parnassia palustris",1,50,"Forb"
