"","SPECIES_NAME","TimesInTrend","PropInTrend","FuncGroup"
"1","Luzula confusa",57,26.2672811059908,"Graminoid"
"2","Carex bigelowii",52,10.1167315175097,"Graminoid"
"3","Salix herbacea",46,23.2323232323232,"Shrub"
"4","Poa arctica",42,16.6666666666667,"Graminoid"
"5","Carex lachenalii",38,82.6086956521739,"Graminoid"
"6","Stellaria longipes",37,30.0813008130081,"Forb"
"7","Saxifraga cernua",36,25.7142857142857,"Forb"
"8","Armeria maritima",36,36,"Forb"
"9","Bistorta vivipara",35,22.1518987341772,"Forb"
"10","Arctagrostis latifolia",34,18.0851063829787,"Graminoid"
"11","Phyllodoce caerulea",32,27.1186440677966,"Shrub"
"12","Betula nana",31,8.56353591160221,"Shrub"
"13","Luzula multiflora",31,83.7837837837838,"Graminoid"
"14","Dupontia fisheri",30,14.018691588785,"Graminoid"
"15","Vaccinium myrtillus",30,15.0753768844221,"Shrub"
"16","Silene acaulis",29,24.7863247863248,"Forb"
"17","Saxifraga foliolosa",27,31.7647058823529,"Forb"
"18","Vaccinium uliginosum",25,14.1242937853107,"Shrub"
"19","Calamagrostis holmii",25,29.0697674418605,"Graminoid"
"20","Alopecurus alpinus",24,48.9795918367347,"Graminoid"
"21","Cassiope hypnoides",24,23.7623762376238,"Shrub"
"22","Empetrum nigrum",24,9.83606557377049,"Shrub"
"23","Luzula nivalis",24,29.2682926829268,"Graminoid"
"24","Vaccinium vitis-idaea",22,4.07407407407407,"Shrub"
"25","Salix arctica",22,7.71929824561404,"Shrub"
"26","Deschampsia flexuosa",21,11.2903225806452,"Graminoid"
"27","Luzula arctica",20,16.260162601626,"Graminoid"
"28","Pedicularis lapponica",19,30.1587301587302,"Forb"
"29","Eriophorum angustifolium",19,11.8012422360248,"Graminoid"
"30","Juncus biglumis",19,70.3703703703704,"Graminoid"
"31","Petasites frigidus",19,11.2426035502959,"Forb"
"32","Eriophorum russeolum",19,13.9705882352941,"Graminoid"
"33","Agrostis mertensii",19,51.3513513513513,"Graminoid"
"34","Oxyria digyna",19,26.7605633802817,"Forb"
"35","Hieracium alpinum",18,23.3766233766234,"Forb"
"36","Thalictrum alpinum",18,25,"Forb"
"37","Saxifraga hirculus",17,30.3571428571429,"Forb"
"38","Calamagrostis inexpansa",17,65.3846153846154,"Graminoid"
"39","Cardamine pratensis",17,39.5348837209302,"Forb"
"40","Trientalis europaea",17,23.943661971831,"Forb"
"41","Juncus trifidus",17,41.4634146341463,"Graminoid"
"42","Carex brunnescens",17,73.9130434782609,"Graminoid"
"43","Poa pratensis",17,70.8333333333333,"Graminoid"
"44","Polygonum bistorta",17,13.9344262295082,"Forb"
"45","Polygonum viviparum",16,20.7792207792208,"Forb"
"46","Tofieldia pusilla",16,28.0701754385965,"Forb"
"47","Persicaria vivipara",16,23.5294117647059,"Forb"
"48","Hierochloe alpina",15,25.4237288135593,"Graminoid"
"49","Solidago virgaurea",15,20,"Forb"
"50","Saxifraga oppositifolia",15,44.1176470588235,"Forb"
"51","Tephroseris integrifolia",15,75,"Forb"
"52","Calluna vulgaris",14,13.7254901960784,"Shrub"
"53","Empetrum hermaphroditum",14,6.86274509803922,"Shrub"
"54","XXXEriophorum scheuchzeri/chamissonis:BARROW",14,23.3333333333333,"Graminoid"
"55","Festuca ovina",13,41.9354838709677,"Graminoid"
"56","Salix reticulata",13,13.1313131313131,"Shrub"
"57","Carex vaginata",13,35.1351351351351,"Graminoid"
"58","Saxifraga hieraciifolia",12,41.3793103448276,"Forb"
"59","Rumex acetosa",12,80,"Forb"
"60","XXXFestuca:THUFUVER",12,22.6415094339623,"Graminoid"
"61","Salix polaris",12,14.8148148148148,"Shrub"
"62","Cassiope tetragona",12,3.90879478827362,"Shrub"
"63","Eriophorum vaginatum",11,4.95495495495495,"Graminoid"
