"","SPECIES_NAME","TimesInTrend","PropInTrend","FuncGroup"
"1","Vaccinium vitis-idaea",471,87.2222222222222,"Shrub"
"2","Carex bigelowii",403,78.4046692607004,"Graminoid"
"3","Carex aquatilis",286,92.8571428571429,"Graminoid"
"4","Betula nana",276,76.2430939226519,"Shrub"
"5","Cassiope tetragona",271,88.2736156351791,"Shrub"
"6","Salix arctica",233,81.7543859649123,"Shrub"
"7","Eriophorum vaginatum",189,85.1351351351351,"Graminoid"
"8","Empetrum nigrum",181,74.1803278688525,"Shrub"
"9","Empetrum hermaphroditum",160,78.4313725490196,"Shrub"
"10","Dupontia fisheri",159,74.2990654205608,"Graminoid"
"11","Poa arctica",157,62.3015873015873,"Graminoid"
"12","Salix pulchra",151,81.1827956989247,"Shrub"
"13","Deschampsia flexuosa",148,79.5698924731183,"Graminoid"
"14","Salix herbacea",137,69.1919191919192,"Shrub"
"15","Vaccinium uliginosum",131,74.0112994350282,"Shrub"
"16","Vaccinium myrtillus",128,64.321608040201,"Shrub"
"17","Ledum decumbens",127,92.7007299270073,"Shrub"
"18","Eriophorum angustifolium",114,70.8074534161491,"Graminoid"
"19","Luzula confusa",109,50.2304147465438,"Graminoid"
"20","Arctagrostis latifolia",107,56.9148936170213,"Graminoid"
"21","Petasites frigidus",105,62.1301775147929,"Forb"
"22","Eriophorum russeolum",103,75.7352941176471,"Graminoid"
"23","Dryas integrifolia",102,85.7142857142857,"Shrub"
"24","Bistorta vivipara",99,62.6582278481013,"Forb"
"25","Ledum palustre",88,95.6521739130435,"Shrub"
"26","Rubus chamaemorus",82,68.9075630252101,"Forb"
"27","Salix reticulata",78,78.7878787878788,"Shrub"
"28","Luzula arctica",77,62.6016260162602,"Graminoid"
"29","Saxifraga cernua",75,53.5714285714286,"Forb"
"30","Calamagrostis lapponica",73,80.2197802197802,"Graminoid"
"31","Polygonum bistorta",72,59.0163934426229,"Forb"
"32","Calluna vulgaris",70,68.6274509803922,"Shrub"
"33","Dryas octopetala",70,88.6075949367088,"Shrub"
"34","Salix rotundifolia",69,71.1340206185567,"Shrub"
"35","Hieracium alpinum",55,71.4285714285714,"Forb"
"36","Armeria maritima",54,54,"Forb"
"37","Salix polaris",53,65.4320987654321,"Shrub"
"38","Festuca richardsonii",50,73.5294117647059,"Graminoid"
"39","Calamagrostis holmii",48,55.8139534883721,"Graminoid"
"40","Trientalis europaea",47,66.1971830985916,"Forb"
"41","Silene acaulis",47,40.1709401709402,"Forb"
"42","Solidago virgaurea",46,61.3333333333333,"Forb"
"43","Stellaria longipes",45,36.5853658536585,"Forb"
"44","Phyllodoce caerulea",39,33.0508474576271,"Shrub"
"45","Persicaria vivipara",39,57.3529411764706,"Forb"
"46","Luzula nivalis",38,46.3414634146341,"Graminoid"
"47","Salix phlebophylla",37,75.5102040816327,"Shrub"
"48","Andromeda polifolia",37,63.7931034482759,"Shrub"
"49","Oxyria digyna",36,50.7042253521127,"Forb"
"50","Hierochloe pauciflora",36,54.5454545454545,"Graminoid"
"51","Cassiope hypnoides",36,35.6435643564356,"Shrub"
"52","XXXEriophorum scheuchzeri/chamissonis:BARROW",36,60,"Graminoid"
"53","Hierochloe alpina",34,57.6271186440678,"Graminoid"
"54","Kobresia myosuroides",32,53.3333333333333,"Graminoid"
"55","Polygonum viviparum",30,38.961038961039,"Forb"
"56","Saxifraga foliolosa",30,35.2941176470588,"Forb"
"57","Salix glauca",30,65.2173913043478,"Shrub"
"58","Diapensia lapponica",25,56.8181818181818,"Shrub"
"59","XXXFestuca:THUFUVER",25,47.1698113207547,"Graminoid"
"60","Thalictrum alpinum",25,34.7222222222222,"Forb"
"61","Carex vaginata",24,64.8648648648649,"Graminoid"
"62","Ranunculus nivalis",23,41.0714285714286,"Forb"
"63","Salix planifolia",23,92,"Shrub"
"64","Stellaria laeta",22,53.6585365853659,"Forb"
"65","Rhododendron lapponicum",22,73.3333333333333,"Shrub"
"66","Pyrola grandiflora",21,44.6808510638298,"Forb"
"67","Saxifraga hirculus",20,35.7142857142857,"Forb"
"68","Tofieldia pusilla",19,33.3333333333333,"Forb"
"69","XXXEriophorum scheuchzeri/chamissonis:ATQASUK",19,61.2903225806452,"Graminoid"
"70","Saxifraga punctata",18,31.5789473684211,"Forb"
"71","Alopecurus alpinus",18,36.734693877551,"Graminoid"
"72","Arctostaphylos alpina",18,60,"Shrub"
"73","Pedicularis lapponica",17,26.984126984127,"Forb"
"74","Potentilla hyparctica",17,54.8387096774194,"Forb"
"75","Pedicularis capitata",16,47.0588235294118,"Forb"
"76","Cardamine pratensis",15,34.8837209302326,"Forb"
"77","Persicaria bistorta",15,78.9473684210526,"Forb"
"78","Juncus trifidus",13,31.7073170731707,"Graminoid"
"79","Carex parallela",13,68.4210526315789,"Graminoid"
"80","Astragalus umbellatus",13,81.25,"Forb"
"81","Trisetum spicatum",13,40.625,"Graminoid"
"82","Lupinus arcticus",12,75,"Forb"
"83","Stellaria edwardsii",12,63.1578947368421,"Forb"
"84","Saussurea angustifolia",12,50,"Forb"
"85","Festuca ovina",11,35.4838709677419,"Graminoid"
"86","Festuca rubra",11,61.1111111111111,"Graminoid"
"87","Festuca brachyphylla",10,45.4545454545455,"Graminoid"
"88","Senecio atropurpureus",10,32.258064516129,"Forb"
"89","Agrostis mertensii",10,27.027027027027,"Graminoid"
"90","Viola biflora",10,43.4782608695652,"Forb"
"91","Carex rupestris",10,40,"Graminoid"
"92","Saxifraga oppositifolia",10,29.4117647058824,"Forb"
"93","Carex membranacea",10,76.9230769230769,"Graminoid"
"94","Carex misandra",10,41.6666666666667,"Graminoid"
"95","Astragalus alpinus",9,33.3333333333333,"Forb"
"96","Pedicularis lanata",8,33.3333333333333,"Forb"
"97","Cerastium beeringianum",8,40,"Forb"
"98","Saxifraga hieraciifolia",7,24.1379310344828,"Forb"
"99","Artemisia arctica",7,63.6363636363636,"Forb"
"100","XXXCarex:BROOKS",7,100,"Graminoid"
"101","Papaver radicatum",7,31.8181818181818,"Forb"
"102","Luzula wahlenbergii",6,60,"Graminoid"
"103","Arctostaphylos rubra",6,54.5454545454545,"Shrub"
"104","Carex lachenalii",6,13.0434782608696,"Graminoid"
"105","Sibbaldia procumbens",6,33.3333333333333,"Forb"
"106","Equisetum arvense",6,46.1538461538462,"Forb"
"107","Carex rotundata",6,31.5789473684211,"Graminoid"
"108","Hedysarum alpinum",6,75,"Forb"
"109","Salix lanata",5,16.1290322580645,"Shrub"
"110","Gnaphalium supinum",5,27.7777777777778,"Forb"
"111","Bartsia alpina",5,23.8095238095238,"Forb"
"112","Oxytropis nigrescens",5,33.3333333333333,"Forb"
"113","Arctous alpina",5,45.4545454545455,"Shrub"
"114","Potentilla crantzii",5,100,"Forb"
"115","Vaccinium microcarpum",5,100,"Shrub"
"116","Dupontia psilosantha",5,100,"Graminoid"
"117","Juncus biglumis",4,14.8148148148148,"Graminoid"
"118","Minuartia arctica",4,66.6666666666667,"Forb"
"119","Carex brunnescens",4,17.3913043478261,"Graminoid"
"120","Pinguicula vulgaris",4,11.1111111111111,"Forb"
"121","Loiseleuria procumbens",4,30.7692307692308,"Shrub"
"122","Calamagrostis inexpansa",4,15.3846153846154,"Graminoid"
"123","Salix chamissonis",4,66.6666666666667,"Shrub"
"124","Oxytropis borealis",4,100,"Forb"
"125","Oxytropis maydelliana",4,40,"Forb"
"126","Tephroseris integrifolia",4,20,"Forb"
