FID,MA_tmp,MA_prp,Tundra
0,-17.0606995,15.5,Tundra
1,0,9.6666698,Tundra
2,-17.2917995,17.4167004,Tundra
3,-19.6212006,9.5,Tundra
4,-15.7073002,7.75,Tundra
5,-17.7763004,14.25,Tundra
6,-16.6860008,13.5,Tundra
7,-18.2056007,16.6667004,Tundra
8,-19.5112991,9.9166698,Tundra
9,-17.9291,14.0832996,Tundra
10,-17.1644001,13.6667004,Tundra
11,-18.6844997,15.75,Tundra
12,-18.3547993,19.5,Tundra
13,-15.7564001,9.6666698,Tundra
14,-15.9073,9.3333302,Tundra
15,-15.6457996,9.75,Tundra
16,-18.2465,10.3332996,Tundra
17,-15.9292002,9.9166698,Tundra
18,-19.2625008,10.5832996,Tundra
19,-9999,-9999,Tundra
20,-17.2938004,16.5,Tundra
21,-22.1933002,12.0832996,Tundra
22,-18.5737991,15.6667004,Tundra
23,-18.4661999,21,Tundra
24,-15.9584999,10.1667004,Tundra
25,-22.3558006,24.25,OtherBiomes
26,-17.6415005,22.8332996,Tundra
27,-17.4055004,22.1667004,Tundra
28,-15.2908001,18.9167004,Tundra
29,-19.1088009,10.75,Tundra
30,-19.0737,15.75,OtherBiomes
31,-18.7402,12.9167004,Tundra
32,-21.6201992,22.0832996,OtherBiomes
33,-18.6597996,24.5,OtherBiomes
34,-17.5907001,23.0832996,Tundra
35,-20.7185001,13.25,OtherBiomes
36,-17.5589008,21.8332996,Tundra
37,-19.1573009,23.5,OtherBiomes
38,-18.1606998,11.25,OtherBiomes
39,-23.1578007,24.25,OtherBiomes
40,-21.0918007,21.9167004,OtherBiomes
41,-20.6196995,13.0832996,OtherBiomes
42,-19.0646,11.5,Tundra
43,-17.6737003,24.5832996,Tundra
44,-18.2099991,17.5,Tundra
45,-19.4570007,11.25,OtherBiomes
46,-17.0345001,12.4167004,OtherBiomes
47,-22.1714001,20.6667004,OtherBiomes
48,-24.4473991,27.5,OtherBiomes
49,-17.2632999,11.3332996,OtherBiomes
50,-9.7052298,19.25,Tundra
51,-19.0786991,11.5832996,Tundra
52,-17.5748005,13.1667004,OtherBiomes
53,-22.5704994,13.0832996,Tundra
54,-19.6261997,13,OtherBiomes
55,-15.2178001,11.4167004,Tundra
56,-18.4661007,10.8332996,Tundra
57,-17.8498993,10.6667004,Tundra
