"","SiteSubsitePlot","SiteSubsite","LAT","LONG","YEAR","value_mean5yr"
"1","ABISKO:ABISKODRY_PADDUS:CTL_1","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2008,10.8166650390625
"2","ABISKO:ABISKODRY_PADDUS:CTL_1","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2014,10.2166687011719
"3","ABISKO:ABISKODRY_PADDUS:CTL_2","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2008,10.8166650390625
"4","ABISKO:ABISKODRY_PADDUS:CTL_2","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2014,10.2166687011719
"5","ABISKO:ABISKODRY_PADDUS:CTL_3","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2008,10.8166650390625
"6","ABISKO:ABISKODRY_PADDUS:CTL_3","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2014,10.2166687011719
"7","ABISKO:ABISKODRY_PADDUS:CTL_4","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2008,10.8166650390625
"8","ABISKO:ABISKODRY_PADDUS:CTL_4","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2014,10.2166687011719
"9","ABISKO:ABISKODRY_PADDUS:CTL_5","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2008,10.8166650390625
"10","ABISKO:ABISKODRY_PADDUS:CTL_5","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2014,10.2166687011719
"11","ABISKO:ABISKODRY_PADDUS:CTL_6","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2008,10.8166650390625
"12","ABISKO:ABISKODRY_PADDUS:CTL_6","ABISKO:ABISKODRY_PADDUS",68.1933,18.5115,2014,10.2166687011719
"13","ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO:ABISKOWET_FLUX",68.20462,18.49582,2006,10.41
"14","ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO:ABISKOWET_FLUX",68.20462,18.49582,2007,10.2166650390625
"15","ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO:ABISKOWET_FLUX",68.20462,18.49582,2010,9.61000000000001
"16","ABISKO:ABISKOWET_FLUX:1_CTL","ABISKO:ABISKOWET_FLUX",68.20462,18.49582,2012,9.31666992187501
"17","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX",68.20462,18.49582,2006,10.41
"18","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX",68.20462,18.49582,2007,10.2166650390625
"19","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX",68.20462,18.49582,2010,9.61000000000001
"20","ABISKO:ABISKOWET_FLUX:2_CTL","ABISKO:ABISKOWET_FLUX",68.20462,18.49582,2012,9.31666992187501
