"","SiteSubsitePlotYear","SiteSubsitePlot","SiteSubsite","SITE","SUBSITE","PLOT","YEAR","ValueType","MOISTURE","LAT","LONG","ELEV","AZONE","SurveyedArea","AlpArc","lat_grid","lon_grid","gridcell","Region","Method","ShrubCover","GraminoidCover","ForbCover","DominatingFG","PlotShrubMean","PlotForbMean","PlotGraminoidMean","AnnualRichness","MeanRichness","CurrentRichness"
"1","ALEXFIORD:CASSIOPE_COVER:ALL:2007","ALEXFIORD:CASSIOPE_COVER:ALL","ALEXFIORD:CASSIOPE_COVER","ALEXFIORD","CASSIOPE_COVER","ALL",2007,"percent_cover","MOIST",78.87448,-75.78341,30,"HIGH","0.25","Arctic",78.5,-75.5,"_78.5_-75.5","North America-East","Cover",96.2517353077279,2.32916859478636,1.41909609748573,"Shrub-Dominated",93.8660911175511,1.54753687555851,4.58637200689039,6,6,6
"2","ATQASUK:RATE_BETULA_SHRUB:31:2009","ATQASUK:RATE_BETULA_SHRUB:31","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","31",2009,"percent_cover","MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",41.0293397134422,52.5043336823492,6.46632660420858,"Graminoid-Dominated",25.3211350155094,3.738963995388,70.9399009891026,12,12,12
"3","ATQASUK:RATE_BETULA_SHRUB:48:2009","ATQASUK:RATE_BETULA_SHRUB:48","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","48",2009,"percent_cover","MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",57.1251185555434,42.8748814444566,0,"Shrub-Dominated",50.0950574520316,0.210662322341441,49.694280225627,7,8,7
"4","ATQASUK:RATE_BETULA_SHRUB:54:2009","ATQASUK:RATE_BETULA_SHRUB:54","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","54",2009,"percent_cover","MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",60.4029828359162,28.4863792838453,11.1106378802384,"Shrub-Dominated",55.5773677286392,8.034258305531,36.3883739658298,10,10,10
"5","ATQASUK:RATE_BETULA_SHRUB:42:2009","ATQASUK:RATE_BETULA_SHRUB:42","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","42",2009,"percent_cover","MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",69.2524475866226,15.2719631192272,15.4755892941502,"Shrub-Dominated",65.8912571283505,14.0855258638389,20.0232170078105,10,10,10
"6","ATQASUK:RATE_BETULA_SHRUB:56:2009","ATQASUK:RATE_BETULA_SHRUB:56","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","56",2009,"percent_cover","MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",51.6331121382126,42.1125489141425,6.25433894764493,"Shrub-Dominated",36.9000745634207,3.22519587560001,59.8747295609792,8,8,8
"7","ATQASUK:RATE_BETULA_SHRUB:50:2009","ATQASUK:RATE_BETULA_SHRUB:50","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","50",2009,"percent_cover","MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",59.9370062137176,37.4272705108691,2.63572327541331,"Shrub-Dominated",55.7540804133583,2.33941860324567,41.906500983396,9,9,9
"8","ATQASUK:RATE_BETULA_SHRUB:9:2009","ATQASUK:RATE_BETULA_SHRUB:9","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","9",2009,"percent_cover","MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",59.9556589147287,22.757519379845,17.2868217054264,"Shrub-Dominated",60.5888299504406,12.6629858536228,26.7481841959366,13,12,13
"9","ATQASUK:RATE_BETULA_SHRUB:44:2009","ATQASUK:RATE_BETULA_SHRUB:44","ATQASUK:RATE_BETULA_SHRUB","ATQASUK","RATE_BETULA_SHRUB","44",2009,"percent_cover","MOIST",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",81.9736375440767,7.327789616229,10.6985728396943,"Shrub-Dominated",80.1628735544549,10.8164832389327,9.0206432066124,11,10,11
"10","ATQASUK:RATE_CAREX_ WET_MEADOW:18:2009","ATQASUK:RATE_CAREX_ WET_MEADOW:18","ATQASUK:RATE_CAREX_ WET_MEADOW","ATQASUK","RATE_CAREX_ WET_MEADOW","18",2009,"percent_cover","WET",70.456021,-157.414293,29,"LOW","1","Arctic",70,-157,"_70_-157","North America-West","Cover",12.5734978099253,74.2586208473166,13.1678813427581,"Graminoid-Dominated",11.6074801788379,7.07675307711002,81.3157667440521,18,18,18
