"","SiteSubsite","SiteSubsitePlot","MOISTURE","LAT.x","Region","LogPlotSize","MeanRichness","Duration","PlotForbMean","PlotShrubMean","PlotGraminoidMean","X.x","Slope","X.y","LAT.y","LONG","mat","warmq","coldq","prec","ID","WarmQSlope","PrecSlope","X","ForbSlope","GraminoidSlope","ShrubSlope"
"1","ABISKO:ABISKODRY_PADDUS","ABISKO:ABISKODRY_PADDUS:CTL_1","MOIST",68.1933,"Eurasia",-1.38629436111989,12,6,7.70175438596491,69.7368421052632,22.5614035087719,1,0.00343177276544667,1194,68.1933,18.5115,-2.2,9.9,-13,499,69,0.0301958937872026,8.67927170868354,1,1.23391812865496,-2.25730994152045,1.02339181286549
"2","ABISKO:ABISKODRY_PADDUS","ABISKO:ABISKODRY_PADDUS:CTL_2","MOIST",68.1933,"Eurasia",-1.38629436111989,11,6,4.76509069283378,92.2242045792447,3.0107047279215,2,0.020562073858316,1195,68.1933,18.5115,-2.2,9.9,-13,499,69,0.0301958937872026,8.67927170868354,2,0.458420061453064,-0.126375260184358,-0.332044801268707
"3","ABISKO:ABISKODRY_PADDUS","ABISKO:ABISKODRY_PADDUS:CTL_3","MOIST",68.1933,"Eurasia",-1.38629436111989,14,6,13.0058665606046,82.9770309237347,4.01710251566073,3,0.0359631296711628,1196,68.1933,18.5115,-2.2,9.9,-13,499,69,0.0301958937872026,8.67927170868354,3,3.15534785058497,0.159093168937057,-3.31444101952203
"4","ABISKO:ABISKODRY_PADDUS","ABISKO:ABISKODRY_PADDUS:CTL_4","MOIST",68.1933,"Eurasia",-1.38629436111989,14,6,12.2117647058824,79.8117647058824,7.97647058823529,4,-0.00307492763094702,1197,68.1933,18.5115,-2.2,9.9,-13,499,69,0.0301958937872026,8.67927170868354,4,2.20392156862743,-1.87450980392155,-0.329411764705878
"5","ABISKO:ABISKODRY_PADDUS","ABISKO:ABISKODRY_PADDUS:CTL_5","MOIST",68.1933,"Eurasia",-1.38629436111989,14,6,15.7738095238095,79.0178571428571,5.20833333333333,5,0.00514106749727615,1198,68.1933,18.5115,-2.2,9.9,-13,499,69,0.0301958937872026,8.67927170868354,5,0.760582010582005,-0.11574074074074,-0.644841269841261
"6","ABISKO:ABISKODRY_PADDUS","ABISKO:ABISKODRY_PADDUS:CTL_6","MOIST",68.1933,"Eurasia",-1.38629436111989,9,6,1.04166666666667,94.4972826086957,4.46105072463768,6,-0.0180776718807773,1199,68.1933,18.5115,-2.2,9.9,-13,499,69,0.0301958937872026,8.67927170868354,6,0.347222222222219,-0.44535024154589,0.0981280193236775
"7","ABISKO:ABISKOWET_MULTE","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl1","WET",68.20462,"Eurasia",-1.38629436111989,12,9,7.8371250474769,46.9992337022047,45.1636412503184,13,0.00163131875033259,849,68.20462,18.49582,-3.1,8.9,-13.9,635,43,0.0301588213410369,10.1521008403362,13,0.237030745692459,0.644206024179379,-0.881236769871838
"8","ABISKO:ABISKOWET_MULTE","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl2","WET",68.20462,"Eurasia",-1.38629436111989,10,9,10.5999524582386,46.3621621400267,43.0378854017347,14,0.00645221697222645,848,68.20462,18.49582,-3.1,8.9,-13.9,635,43,0.0301588213410369,10.1521008403362,14,0.423516622618722,-1.36708161381204,0.943564991193321
"9","ABISKO:ABISKOWET_MULTE","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl3","WET",68.20462,"Eurasia",-1.38629436111989,9,9,3.8963148098997,69.5525606115715,26.5511245785288,15,0.00309688288435826,847,68.20462,18.49582,-3.1,8.9,-13.9,635,43,0.0301588213410369,10.1521008403362,15,0.0716014766856775,-0.93543453279807,0.863833056112391
"10","ABISKO:ABISKOWET_MULTE","ABISKO:ABISKOWET_MULTE:Abisko_wetheathControl4","WET",68.20462,"Eurasia",-1.38629436111989,10,9,2.23883730292933,73.1809824608689,24.5801802362018,16,-0.00586501572563376,846,68.20462,18.49582,-3.1,8.9,-13.9,635,43,0.0301588213410369,10.1521008403362,16,0.231536647672275,-2.46419364748253,2.23265699981025
