"","x"
"1","KLUANE:PIKA:KluaneControl1:1996"
"2","KLUANE:PIKA:KluaneControl4:1996"
"3","KLUANE:PIKA:KluaneControl6:1996"
"4","KLUANE:PIKA:KluaneControl1:1997"
"5","KLUANE:PIKA:KluaneControl4:1997"
"6","KLUANE:PIKA:KluaneControl6:1997"
"7","KLUANE:PIKA:KluaneControl7:1996"
"8","KLUANE:PIKA:KluaneControl1:1998"
"9","KLUANE:PIKA:KluaneControl4:1998"
"10","KLUANE:PIKA:KluaneControl6:1998"
"11","KLUANE:PIKA:KluaneControl7:1998"
"12","KLUANE:PIKA:KluaneControl1:1999"
"13","KLUANE:PIKA:KluaneControl4:1999"
"14","KLUANE:PIKA:KluaneControl6:1999"
"15","KLUANE:PIKA:KluaneControl7:1999"
"16","KLUANE:PIKA:KluaneControl1:2002"
"17","KLUANE:PIKA:KluaneControl4:2002"
"18","KLUANE:PIKA:KluaneControl7:1997"
"19","KLUANE:PIKA:KluaneControl7:2002"
"20","KLUANE:PIKA:KluaneControl1:2005"
"21","KLUANE:PIKA:KluaneControl4:2005"
"22","KLUANE:PIKA:KluaneControl6:2005"
"23","KLUANE:PIKA:KluaneControl7:2005"
"24","KLUANE:PIKA:KluaneControl1:2007"
"25","KLUANE:PIKA:KluaneControl4:2007"
"26","KLUANE:PIKA:KluaneControl6:2007"
"27","KLUANE:PIKA:KluaneControl7:2007"
"28","KLUANE:PIKA:KluaneControl6:2002"
"29","BILLEFJORDEN:AWS:95:2014"
"30","PYRAMIDEN:PYR:7:2014"
"31","PYRAMIDEN:PYR:14:2014"
"32","PYRAMIDEN:PYR:20:2014"
"33","PYRAMIDEN:PYR:21:2014"
"34","PYRAMIDEN:PYR:43:2014"
"35","PYRAMIDEN:PYR:44:2014"
"36","PYRAMIDEN:PYR:46:2014"
"37","HOLTAVORDUHEIDI:AH37:364:2015"
"38","SADVENT:MES_COVER:DEUA:2003"
"39","THUFUVER:PALSA:PALSA2_6:1989"
"40","THUFUVER:PALSA:PALSA2_7:1986"
"41","THUFUVER:PALSA:PALSA3_10:1989"
"42","THUFUVER:PALSA:PALSA3_16:1984"
"43","THUFUVER:PALSA:PALSA3_16:1985"
"44","THUFUVER:PALSA:PALSA3_16:1988"
"45","THUFUVER:PALSA:PALSA3_16:1989"
"46","THUFUVER:PALSA:PALSA3_16:2007"
"47","THUFUVER:PALSA:PALSA3_18:1986"
"48","THUFUVER:PALSA:PALSA3_18:1989"
"49","THUFUVER:PALSA:PALSA1_1:1987"
"50","THUFUVER:PALSA:PALSA1_1:1989"
"51","THUFUVER:PALSA:PALSA1_10:1988"
"52","THUFUVER:PALSA:PALSA1_13:2007"
"53","THUFUVER:PALSA:PALSA1_16:2007"
"54","THUFUVER:PALSA:PALSA1_17:2007"
"55","THUFUVER:PALSA:PALSA1_2:1988"
"56","THUFUVER:PALSA:PALSA1_4:1984"
"57","THUFUVER:PALSA:PALSA1_4:1987"
"58","THUFUVER:PALSA:PALSA1_5:1989"
"59","THUFUVER:PALSA:PALSA1_7:1990"
"60","THUFUVER:PALSA:PALSA1_8:1987"
"61","THUFUVER:PALSA:PALSA1_8:1988"
"62","THUFUVER:PALSA:PALSA1_8:1989"
"63","THUFUVER:PALSA:PALSA1_8:1990"
"64","THUFUVER:PALSA:PALSA1_9:1987"
"65","THUFUVER:PALSA:PALSA1_9:1989"
"66","THUFUVER:PALSA:PALSA3_18:1990"
"67","THUFUVER:PALSA:PALSA3_2:1986"
"68","THUFUVER:PALSA:PALSA3_6:1986"
"69","THUFUVER:PALSA:PALSA3_9:2007"
"70","THUFUVER:PALSA:PALSA4_7:1988"
"71","THUFUVER:PALSA:PALSA5_1:1989"
"72","THUFUVER:PALSA:PALSA5_10:1984"
"73","THUFUVER:PALSA:PALSA5_10:1986"
"74","THUFUVER:PALSA:PALSA5_10:1987"
"75","THUFUVER:PALSA:PALSA5_10:1988"
"76","THUFUVER:PALSA:PALSA5_10:1990"
"77","THUFUVER:PALSA:PALSA5_10:2007"
"78","THUFUVER:PALSA:PALSA5_3:1989"
"79","THUFUVER:PALSA:PALSA5_5:1984"
"80","THUFUVER:PALSA:PALSA5_5:1986"
"81","THUFUVER:PALSA:PALSA5_6:1987"
"82","THUFUVER:PALSA:PALSA5_8:1989"
"83","THUFUVER:PALSA:PALSA5_9:1984"
"84","THUFUVER:PALSA:PALSA5_9:1986"
"85","THUFUVER:PALSA:PALSA5_9:1988"
"86","THUFUVER:PALSA:PALSA5_9:1989"
"87","THUFUVER:PALSA:PALSA5_9:1990"
"88","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_1:1998"
"89","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_19:1998"
"90","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_15:2003"
"91","WOLFCREEK:WOLFCREEK:WOLFCREEK_CTL_1:2008"
"92","ZACKENBERG:SALIX_SITE:S1_CONT:2008"
"93","ZACKENBERG:SALIX_SITE:S2_CONT:2008"
"94","ZACKENBERG:SALIX_SITE:S4_CONT:2007"
"95","ZACKENBERG:SALIX_SITE:S5_CONT:2007"
"96","ABISKO:upper_forest:AUFc2:1999"
"97","ABISKO:upper_forest:AUFc4:1999"
"98","ADVENT:ADVENT_3:3_MO_CTL_B:2017"
"99","ADVENT:ADVENT_6:6_WE_CTL_A:2016"
"100","KANGER:BASHFUL:C_GRAZED:2005"
"101","KANGER:DOPEY:A_GRAZED:2005"
"102","KANGER:DOPEY:B_GRAZED:2005"
"103","KANGER:DOPEY:C_GRAZED:2005"
"104","KANGER:DOPEY:A_GRAZED:2006"
"105","KANGER:DOPEY:A_GRAZED:2007"
"106","KANGER:DOPEY:A_GRAZED:2008"
"107","KANGER:DOPEY:A_GRAZED:2010"
"108","KANGER:DOPEY:A_GRAZED:2011"
"109","KANGER:DOPEY:A_GRAZED:2012"
"110","KANGER:DOPEY:A_GRAZED:2013"
"111","KANGER:DOPEY:A_GRAZED:2014"
"112","KANGER:DOPEY:A_GRAZED:2015"
"113","KANGER:DOPEY:A_GRAZED:2016"
"114","KANGER:DOPEY:A_GRAZED:2017"
"115","KANGER:SNEEZY:B_GRAZED:2006"
"116","KANGER:SNEEZY:B_GRAZED:2007"
"117","KILPISJARVI:KILPISJARVI:C1:2007"
"118","KILPISJARVI:KILPISJARVI:C1:2010"
"119","KILPISJARVI:KILPISJARVI:C2:2007"
"120","KILPISJARVI:KILPISJARVI:C2:2010"
