"","SiteSubsiteYear","X","Y","TimePoint","SiteSubsite"
"1","ABISKO:ABISKODRY_PADDUS:Begin",0.126846609954758,-0.274291865519172,"Start","ABISKO:ABISKODRY_PADDUS"
"2","ABISKO:ABISKODRY_PADDUS:End",0.143907913495642,-0.249528805726251,"End","ABISKO:ABISKODRY_PADDUS"
"3","ABISKO:ABISKOWET_FLUX:Begin",0.126147295980215,-0.156906345547113,"Start","ABISKO:ABISKOWET_FLUX"
"4","ABISKO:ABISKOWET_FLUX:End",0.172902216925159,-0.163392637155268,"End","ABISKO:ABISKOWET_FLUX"
"5","ABISKO:ABISKOWET_MULTE:Begin",0.138827499731404,-0.150497062308082,"Start","ABISKO:ABISKOWET_MULTE"
"6","ABISKO:ABISKOWET_MULTE:End",0.171595531140519,-0.159242820895521,"End","ABISKO:ABISKOWET_MULTE"
"7","ABISKO:PEATLAND:Begin",0.356652281219958,-0.0193795327165741,"Start","ABISKO:PEATLAND"
"8","ABISKO:PEATLAND:End",0.202511744106359,-0.111401727941486,"End","ABISKO:PEATLAND"
"9","ABISKO:lower_forest:Begin",0.246453084146903,-0.108197476322524,"Start","ABISKO:lower_forest"
"10","ABISKO:lower_forest:End",0.239990291646509,-0.142635913983439,"End","ABISKO:lower_forest"
"11","ABISKO:lower_tundra:Begin",0.200438697405376,-0.139160286908903,"Start","ABISKO:lower_tundra"
"12","ABISKO:lower_tundra:End",0.291332165294844,-0.0922513314043627,"End","ABISKO:lower_tundra"
"13","ABISKO:upper_forest:Begin",0.242706146815158,-0.12973150336853,"Start","ABISKO:upper_forest"
"14","ABISKO:upper_forest:End",0.243729023272522,-0.109593765930201,"End","ABISKO:upper_forest"
"15","ABISKO:upper_tundra:Begin",0.276935282592922,-0.0889967062738441,"Start","ABISKO:upper_tundra"
"16","ABISKO:upper_tundra:End",0.270603083827027,-0.102876606969784,"End","ABISKO:upper_tundra"
"17","ALEXFIORD:CASSIOPE:Begin",-0.353918502242321,-0.247798390022457,"Start","ALEXFIORD:CASSIOPE"
"18","ALEXFIORD:CASSIOPE:End",-0.37145661408932,-0.223554026388385,"End","ALEXFIORD:CASSIOPE"
"19","ALEXFIORD:CASSIOPE_COVER:Begin",-0.281282531650543,-0.3084076556684,"Start","ALEXFIORD:CASSIOPE_COVER"
"20","ALEXFIORD:CASSIOPE_COVER:End",-0.268981520241229,-0.319581205566463,"End","ALEXFIORD:CASSIOPE_COVER"
"21","ALEXFIORD:DOMEDOLOMITE:Begin",-0.238943788041086,-0.202359172224197,"Start","ALEXFIORD:DOMEDOLOMITE"
"22","ALEXFIORD:DOMEDOLOMITE:End",-0.249798923763663,-0.21303099445658,"End","ALEXFIORD:DOMEDOLOMITE"
"23","ALEXFIORD:DOMEGRANITE:Begin",-0.226133573855596,-0.163744642910045,"Start","ALEXFIORD:DOMEGRANITE"
"24","ALEXFIORD:DOMEGRANITE:End",-0.195595405129119,-0.16875550480292,"End","ALEXFIORD:DOMEGRANITE"
"25","ALEXFIORD:DRYAS:Begin",-0.309722534010077,-0.191921949398951,"Start","ALEXFIORD:DRYAS"
"26","ALEXFIORD:DRYAS:End",-0.308101181690043,-0.208053579815858,"End","ALEXFIORD:DRYAS"
"27","ALEXFIORD:FERT:Begin",-0.286281350894315,-0.171322684942252,"Start","ALEXFIORD:FERT"
