"","SiteSubsiteYear","X","Y","TimePoint","SiteSubsite"
"1","ABISKO:ABISKODRY_PADDUS:Begin",0.117640166567001,0.250685774540232,"Start","ABISKO:ABISKODRY_PADDUS"
"2","ABISKO:ABISKODRY_PADDUS:End",0.110362139142327,0.253129451055643,"End","ABISKO:ABISKODRY_PADDUS"
"3","ABISKO:ABISKOWET_FLUX:Begin",0.116456906095921,0.20535866780457,"Start","ABISKO:ABISKOWET_FLUX"
"4","ABISKO:ABISKOWET_FLUX:End",0.100173853212263,0.210488066238183,"End","ABISKO:ABISKOWET_FLUX"
"5","ABISKO:ABISKOWET_MULTE:Begin",0.145723726210303,0.168986908098469,"Start","ABISKO:ABISKOWET_MULTE"
"6","ABISKO:ABISKOWET_MULTE:End",0.0835688816654437,0.182439549247824,"End","ABISKO:ABISKOWET_MULTE"
"7","ABISKO:PEATLAND:Begin",0.190817457314252,0.0705283381750664,"Start","ABISKO:PEATLAND"
"8","ABISKO:PEATLAND:End",0.139639475865534,0.102354896214732,"End","ABISKO:PEATLAND"
"9","ABISKO:lower_forest:Begin",0.255789305503477,0.0257953492477006,"Start","ABISKO:lower_forest"
"10","ABISKO:lower_forest:End",0.308213529906313,0.00892346073544963,"End","ABISKO:lower_forest"
"11","ABISKO:lower_tundra:Begin",0.248973762547674,0.111801385726833,"Start","ABISKO:lower_tundra"
"12","ABISKO:lower_tundra:End",0.301380592649067,0.0671469656825752,"End","ABISKO:lower_tundra"
"13","ABISKO:upper_forest:Begin",0.306714877036376,0.00867010378412525,"Start","ABISKO:upper_forest"
"14","ABISKO:upper_forest:End",0.256863264967625,0.0243098195584589,"End","ABISKO:upper_forest"
"15","ABISKO:upper_tundra:Begin",0.255849986912581,0.0944904218905202,"Start","ABISKO:upper_tundra"
"16","ABISKO:upper_tundra:End",0.281457025819245,0.100319431268867,"End","ABISKO:upper_tundra"
"17","ALEXFIORD:CASSIOPE:Begin",-0.333796895769767,0.0617880213604027,"Start","ALEXFIORD:CASSIOPE"
"18","ALEXFIORD:CASSIOPE:End",-0.331208810603718,0.10025611735644,"End","ALEXFIORD:CASSIOPE"
"19","ALEXFIORD:CASSIOPE_COVER:Begin",-0.246359852666961,0.196302093857605,"Start","ALEXFIORD:CASSIOPE_COVER"
"20","ALEXFIORD:CASSIOPE_COVER:End",-0.246359852666961,0.196302093857605,"End","ALEXFIORD:CASSIOPE_COVER"
"21","ALEXFIORD:DOMEDOLOMITE:Begin",-0.166125069946701,0.180390374134851,"Start","ALEXFIORD:DOMEDOLOMITE"
"22","ALEXFIORD:DOMEDOLOMITE:End",-0.166125069946701,0.180390374134851,"End","ALEXFIORD:DOMEDOLOMITE"
"23","ALEXFIORD:DOMEGRANITE:Begin",-0.180312635436728,0.146326081739398,"Start","ALEXFIORD:DOMEGRANITE"
"24","ALEXFIORD:DOMEGRANITE:End",-0.11488116539149,0.149118232186473,"End","ALEXFIORD:DOMEGRANITE"
"25","ALEXFIORD:DRYAS:Begin",-0.274116145506346,0.136040313727317,"Start","ALEXFIORD:DRYAS"
"26","ALEXFIORD:DRYAS:End",-0.280705475976102,0.141176736131099,"End","ALEXFIORD:DRYAS"
"27","ALEXFIORD:FERT:Begin",-0.27208042367238,0.0739908633434176,"Start","ALEXFIORD:FERT"
"28","ALEXFIORD:FERT:End",-0.300986682204473,0.080184227296317,"End","ALEXFIORD:FERT"
"29","ALEXFIORD:MEADOW:Begin",-0.271416013656316,0.0436216021695876,"Start","ALEXFIORD:MEADOW"
"30","ALEXFIORD:MEADOW:End",-0.24601741912254,0.00525650925050717,"End","ALEXFIORD:MEADOW"
"31","ALEXFIORD:WILLOW:Begin",-0.262734755213916,0.110126814661476,"Start","ALEXFIORD:WILLOW"
"32","ALEXFIORD:WILLOW:End",-0.276898965187438,0.0897038814039429,"End","ALEXFIORD:WILLOW"
"33","ANWR:ATIGUN-A:Begin",0.0424353028382854,0.0552137889034628,"Start","ANWR:ATIGUN-A"
"34","ANWR:ATIGUN-A:End",0.0503958998866454,0.0566887036374994,"End","ANWR:ATIGUN-A"
"35","ANWR:ATIGUN-B:Begin",-0.0237468743397489,0.0726060569426065,"Start","ANWR:ATIGUN-B"
"36","ANWR:ATIGUN-B:End",-0.0709674060212937,0.0070610527990902,"End","ANWR:ATIGUN-B"
"37","ANWR:ATIGUN-C:Begin",-0.13004364895492,0.122218488045055,"Start","ANWR:ATIGUN-C"
"38","ANWR:ATIGUN-C:End",-0.0957434817699664,0.134280845226869,"End","ANWR:ATIGUN-C"
"39","ANWR:JAGO-A:Begin",0.0279943023357559,0.0540828045186685,"Start","ANWR:JAGO-A"
"40","ANWR:JAGO-A:End",0.0583608475013278,0.0520896795759146,"End","ANWR:JAGO-A"
"41","ANWR:JAGO-B:Begin",0.00762993539661685,0.0493559011794958,"Start","ANWR:JAGO-B"
"42","ANWR:JAGO-B:End",-0.0291522320356044,0.0402624010858886,"End","ANWR:JAGO-B"
