"","SiteSubsitePlot","NbSpeciesPerTrendPlot","trend","TotalSpecies","ProportionSpecies","SiteSubsite","LAT.x","SurveyedArea","Region","MOISTURE","Duration","PlotGraminoidMean","PlotShrubMean","PlotForbMean","MeanRichness","LogPlotSize","GramDivided","ShrubDivided","ForbDivided","X.x","LAT.y","LONG","mat","warmq","coldq","prec","ID","WarmQSlope","PrecSlope","X.y","ForbSlope","GraminoidSlope","ShrubSlope"
"1","ALEXFIORD:CASSIOPE_COVER:ALL",6,"Persisting",6,1,"ALEXFIORD:CASSIOPE_COVER",78.87448,0.25,"North America-East","MOIST",26,4.58637200689039,93.8660911175511,1.54753687555851,6,-1.38629436111989,0.0458637200689039,0.938660911175511,0.0154753687555851,1,78.87448,-75.78341,-14.6,3.5,-28.6,130,1,0.0436227049413513,-0.509243697478998,66,-0.00988005985175195,-0.173631031700308,0.18351109155206
"2","ATQASUK:RATE_BETULA_SHRUB:56",6,"Persisting",9,0.666666666666667,"ATQASUK:RATE_BETULA_SHRUB",70.456021,1,"North America-West","MOIST",9,59.8747295609792,36.9000745634207,3.22519587560001,8,0,0.598747295609792,0.369000745634207,0.0322519587560001,2,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,285,0.673142904898878,-3.94715125485264,3.27400834995377
"3","ATQASUK:RATE_BETULA_SHRUB:50",8,"Persisting",10,0.8,"ATQASUK:RATE_BETULA_SHRUB",70.456021,1,"North America-West","MOIST",9,41.906500983396,55.7540804133583,2.33941860324567,9,0,0.41906500983396,0.557540804133583,0.0233941860324567,3,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,283,0.0658454827039226,-0.995384549450445,0.929539066746526
"4","ATQASUK:RATE_BETULA_SHRUB:9",12,"Persisting",13,0.923076923076923,"ATQASUK:RATE_BETULA_SHRUB",70.456021,1,"North America-West","MOIST",9,26.7481841959366,60.5888299504406,12.6629858536228,12,0,0.267481841959366,0.605888299504406,0.126629858536228,4,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,286,1.02751907817858,-0.886814403575936,-0.140704674602644
"5","ATQASUK:RATE_BETULA_SHRUB:31",10,"Persisting",15,0.666666666666667,"ATQASUK:RATE_BETULA_SHRUB",70.456021,1,"North America-West","MOIST",9,70.9399009891026,25.3211350155094,3.738963995388,12,0,0.709399009891026,0.253211350155094,0.03738963995388,5,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,279,0.606080579737956,-4.09679273483442,3.49071215509646
"6","ATQASUK:RATE_BETULA_SHRUB:48",7,"Persisting",9,0.777777777777778,"ATQASUK:RATE_BETULA_SHRUB",70.456021,1,"North America-West","MOIST",9,49.694280225627,50.0950574520316,0.210662322341441,8,0,0.49694280225627,0.500950574520316,0.00210662322341441,6,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,282,-0.046813849409213,-1.51542195137132,1.56223580078053
"7","ATQASUK:RATE_BETULA_SHRUB:54",7,"Persisting",12,0.583333333333333,"ATQASUK:RATE_BETULA_SHRUB",70.456021,1,"North America-West","MOIST",9,36.3883739658298,55.5773677286392,8.034258305531,10,0,0.363883739658298,0.555773677286392,0.08034258305531,7,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,284,0.683639905490596,-1.75599881821891,1.07235891272831
"8","ATQASUK:RATE_BETULA_SHRUB:42",8,"Persisting",13,0.615384615384615,"ATQASUK:RATE_BETULA_SHRUB",70.456021,1,"North America-West","MOIST",9,20.0232170078105,65.8912571283505,14.0855258638389,10,0,0.200232170078105,0.658912571283505,0.140855258638389,8,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,280,0.308902984513644,-1.05583419746305,0.746931212949404
"9","ATQASUK:RATE_BETULA_SHRUB:44",9,"Persisting",11,0.818181818181818,"ATQASUK:RATE_BETULA_SHRUB",70.456021,1,"North America-West","MOIST",9,9.0206432066124,80.1628735544549,10.8164832389327,10,0,0.090206432066124,0.801628735544549,0.108164832389327,9,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,281,-0.0262023109418501,-0.376189686751898,0.402391997693746
"10","ATQASUK:RATE_CAREX_ WET_MEADOW:18",15,"Persisting",20,0.75,"ATQASUK:RATE_CAREX_ WET_MEADOW",70.456021,1,"North America-West","WET",9,81.3157667440521,11.6074801788379,7.07675307711002,18,0,0.813157667440521,0.116074801788379,0.0707675307711002,10,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,287,1.35358405903302,-1.56825464371912,0.214670584686101
"11","ATQASUK:RATE_CAREX_ WET_MEADOW:22",13,"Persisting",21,0.619047619047619,"ATQASUK:RATE_CAREX_ WET_MEADOW",70.456021,1,"North America-West","WET",9,72.4172637411395,15.4010338712795,12.181702387581,17,0,0.724172637411395,0.154010338712795,0.12181702387581,11,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,288,0.561048967371867,-2.90194453207392,2.34089556470205
"12","ATQASUK:RATE_DRYAS_HEATH:5",15,"Persisting",23,0.652173913043478,"ATQASUK:RATE_DRYAS_HEATH",70.456021,1,"North America-West","DRY",9,65.9045930361144,0,34.0954069638856,19,0,0.659045930361144,0,0.340954069638856,13,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,294,-0.382100824543149,0.382100824543147,NA
"13","ATQASUK:RATE_DRYAS_HEATH:16",16,"Persisting",22,0.727272727272727,"ATQASUK:RATE_DRYAS_HEATH",70.456021,1,"North America-West","DRY",9,24.9669132183477,65.9349896166452,9.09809716500716,19,0,0.249669132183477,0.659349896166452,0.0909809716500716,14,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,291,-0.826712622477185,-1.04786976658067,1.87458238905785
"14","ATQASUK:RATE_DRYAS_HEATH:19",12,"Persisting",20,0.6,"ATQASUK:RATE_DRYAS_HEATH",70.456021,1,"North America-West","DRY",9,30.9504924711265,52.6999451980178,16.3495623308557,16,0,0.309504924711265,0.526999451980178,0.163495623308557,15,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,293,1.56461890935108,-2.04890506056976,0.484286151218681
"15","ATQASUK:RATE_DRYAS_HEATH:1",13,"Persisting",22,0.590909090909091,"ATQASUK:RATE_DRYAS_HEATH",70.456021,1,"North America-West","DRY",9,17.9167873811506,69.8981334060363,12.1850792128132,18,0,0.179167873811506,0.698981334060363,0.121850792128132,16,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,289,2.25203396780101,-0.878015059200661,-1.37401890860035
"16","ATQASUK:RATE_DRYAS_HEATH:17",13,"Persisting",23,0.565217391304348,"ATQASUK:RATE_DRYAS_HEATH",70.456021,1,"North America-West","DRY",9,42.7881633304123,47.870046911464,9.34178975812362,18,0,0.427881633304123,0.47870046911464,0.0934178975812362,17,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,292,0.824967459166806,-2.68074775792715,1.85578029876034
"17","ATQASUK:RATE_DRYAS_HEATH:14",7,"Persisting",20,0.35,"ATQASUK:RATE_DRYAS_HEATH",70.456021,1,"North America-West","DRY",9,24.7792479783839,69.1224695258523,6.09828249576386,14,0,0.247792479783839,0.691224695258523,0.0609828249576386,18,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,290,-0.511290963201247,1.80709620485462,-1.29580524165337
"18","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:46",4,"Persisting",7,0.571428571428571,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW",70.456021,1,"North America-West","WET",9,92.2883937318024,0.104807154835103,7.60679911336252,6,0,0.922883937318024,0.00104807154835103,0.0760679911336252,19,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,297,1.5040759721515,-1.48078549329926,-0.0232904788522454
"19","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:45",4,"Persisting",6,0.666666666666667,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW",70.456021,1,"North America-West","WET",9,92.3907961256081,5.09883409735619,2.51036977703569,5,0,0.923907961256081,0.0509883409735619,0.0251036977703569,20,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,296,0.523513393694733,-0.832270275367251,0.308756881672516
"20","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:13",5,"Persisting",10,0.5,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW",70.456021,1,"North America-West","WET",9,88.7047516715823,0,11.2952483284177,8,0,0.887047516715823,0,0.112952483284177,21,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,295,1.98761362159506,-1.98761362159506,NA
"21","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:55",9,"Persisting",12,0.75,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW",70.456021,1,"North America-West","DRY",9,51.4569460697528,39.1585197232123,9.3845342070349,10,0,0.514569460697528,0.391585197232123,0.093845342070349,22,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,306,0.932876206598479,-0.535644328576425,-0.397231878022054
"22","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:24",19,"Persisting",21,0.904761904761905,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW",70.456021,1,"North America-West","DRY",9,31.0277036645308,41.4050926855734,27.5672036498958,20,0,0.310277036645308,0.414050926855734,0.275672036498958,23,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,298,1.47011989927653,-0.794651834322502,-0.675468064954029
"23","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:32",8,"Persisting",9,0.888888888888889,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW",70.456021,1,"North America-West","DRY",9,57.1156633799841,42.3940515642784,0.490285055737453,8,0,0.571156633799841,0.423940515642784,0.00490285055737453,24,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,301,0.0396002795372694,-3.06161933888847,3.02201905935119
"24","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:38",9,"Persisting",12,0.75,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW",70.456021,1,"North America-West","DRY",9,13.3418800446981,80.9337884648088,5.72433149049311,10,0,0.133418800446981,0.809337884648088,0.0572433149049311,25,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,302,0.496602416641872,-0.00976593932343293,-0.486836477318438
"25","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:59",14,"Persisting",22,0.636363636363636,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW",70.456021,1,"North America-West","DRY",9,10.383762660026,76.8156849692496,12.8005523707244,18,0,0.10383762660026,0.768156849692496,0.128005523707244,26,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,308,1.47705899047283,1.39600429675655,-2.87306328722938
"26","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW:51",7,"Persisting",13,0.538461538461538,"ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW",70.456021,1,"North America-West","DRY",9,35.4174380029202,56.5540124668574,8.02854953022245,10,0,0.354174380029202,0.565540124668574,0.0802854953022245,27,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,304,0.238393827135172,-1.76483326533274,1.52643943819757
