"","SITE","SiteSubsite","TotalSurvArea"
"1","ALEXFIORD","ALEXFIORD:CASSIOPE_COVER",0.25
"2","ATQASUK","ATQASUK:RATE_BETULA_SHRUB",8
"3","ATQASUK","ATQASUK:RATE_CAREX_ WET_MEADOW",3
"4","ATQASUK","ATQASUK:RATE_DRYAS_HEATH",6
"5","ATQASUK","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW",3
"6","ATQASUK","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW",12
"7","BARROW","BARROW:ARCTOPHILA_POND_ORDINATION",1
"8","BARROW","BARROW:CAREX WET MEADOW_ORDINATION",2
"9","BARROW","BARROW:CAREX_MESIC MEADOW_ORDINATION",11
"10","BARROW","BARROW:CAREX_MOIST MEADOW_ORDINATION",7
"11","BARROW","BARROW:CAREX_MOIST_MEADOW_MICROTOPO",43.5
"12","BARROW","BARROW:CAREX_WET_MEADOW_MICROTOPO",19
"13","BARROW","BARROW:DRY_HEATH_ORDINATION",3
"14","BARROW","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO",5.5
"15","FAROE","FAROE:SORNFELLI",2.5
"16","SADVENT","SADVENT:MES_COVER",2.25
"17","SADVENT","SADVENT:WET_COVER",2.8125
"18","BILLEFJORDEN","BILLEFJORDEN:AWS",4.9
"19","PYRAMIDEN","PYRAMIDEN:PYR",4.3
"20","FURI","FURI:FURI4",20
"21","FURI","FURI:FURI5",20
"22","FURI","FURI:FURI6",20
"23","LOGH","LOGH:LOGH2",20
"24","LOGH","LOGH:LOGH4",20
"25","LOGH","LOGH:LOGH5",20
"26","LORI","LORI:LORI1",20
"27","LORI","LORI:LORI3",20
"28","LORI","LORI:LORI4",20
"29","RIRI","RIRI:RIRI2",20
"30","RIRI","RIRI:RIRI4",20
"31","RIRI","RIRI:RIRI6",20
"32","AKUREYRI","AKUREYRI:GA66",2.5
"33","AKUREYRI","AKUREYRI:HR58",2.5
"34","AKUREYRI","AKUREYRI:MD72",2.5
"35","AKUREYRI","AKUREYRI:SB63",2.5
"36","AKUREYRI","AKUREYRI:SY59",2.5
"37","BLONDUOS","BLONDUOS:SD33",2.5
"38","BLONDUOS","BLONDUOS:SD34",2.5
"39","DALSMYNNI","DALSMYNNI:AG4",2.5
"40","DALSMYNNI","DALSMYNNI:KD24",2.5
"41","DALSMYNNI","DALSMYNNI:KD25",2.5
"42","DALSMYNNI","DALSMYNNI:KK5",2.5
"43","HJARDARLAND","HJARDARLAND:HA75",2.5
"44","HJARDARLAND","HJARDARLAND:HF73",2.5
"45","HJARDARLAND","HJARDARLAND:LH92",2.5
"46","HJARDARLAND","HJARDARLAND:SH90",2.5
"47","HOLTAVORDUHEIDI","HOLTAVORDUHEIDI:AH36",2.5
"48","HOLTAVORDUHEIDI","HOLTAVORDUHEIDI:AH37",2.25
"49","HOLTAVORDUHEIDI","HOLTAVORDUHEIDI:AH38",2.5
"50","HOLTAVORDUHEIDI","HOLTAVORDUHEIDI:VH49",2.5
"51","HOLTAVORDUHEIDI","HOLTAVORDUHEIDI:VH50",2.5
"52","MODRUVELLIR","MODRUVELLIR:LH69",2.5
"53","MODRUVELLIR","MODRUVELLIR:ML54",2.5
"54","MODRUVELLIR","MODRUVELLIR:MV51",2.5
"55","MODRUVELLIR","MODRUVELLIR:MV52",2.5
"56","OXNADALSHEIDI","OXNADALSHEIDI:SA16",2.5
