"","X.1","X.x","SiteSubsitePlot","duration","richness","richness_change","Jaccard","BrayCurtis","richness_change_abs","SiteSubsite","MOISTURE","LAT.x","LONG.x","SurveyedArea","Region","PlotShrubMean","PlotGraminoidMean","PlotForbMean","MeanRichness","LogPlotSize","ShrubDivided","ForbDivided","GramDivided","X.y","LAT.y","LONG.y","mat","warmq","coldq","prec","ID","WarmQSlope","PrecSlope","X","ForbSlope","GraminoidSlope","ShrubSlope"
"1",1,1,"ALEXFIORD:CASSIOPE_COVER:ALL",26,6,0,0,0.0484737909289185,0,"ALEXFIORD:CASSIOPE_COVER","MOIST",78.87448,-75.78341,0.25,"North America-East",93.8660911175511,4.58637200689039,1.54753687555851,6,-1.38629436111989,0.938660911175511,0.0154753687555851,0.0458637200689039,1,78.87448,-75.78341,-14.6,3.5,-28.6,130,1,0.0436227049413513,-0.509243697478998,66,-0.00988005985175195,-0.173631031700308,0.18351109155206
"2",2,2,"ATQASUK:RATE_BETULA_SHRUB:56",9,9,1,0.25,0.357204140972285,1,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",36.9000745634207,59.8747295609792,3.22519587560001,8,0,0.369000745634207,0.0322519587560001,0.598747295609792,2,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,285,0.673142904898878,-3.94715125485264,3.27400834995377
"3",3,3,"ATQASUK:RATE_BETULA_SHRUB:50",9,10,0,0.2,0.207105626888272,0,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",55.7540804133583,41.906500983396,2.33941860324567,9,0,0.557540804133583,0.0233941860324567,0.41906500983396,3,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,283,0.0658454827039226,-0.995384549450445,0.929539066746526
"4",4,4,"ATQASUK:RATE_BETULA_SHRUB:9",9,13,1,0,0.247971885172032,1,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",60.5888299504406,26.7481841959366,12.6629858536228,12,0,0.605888299504406,0.126629858536228,0.267481841959366,4,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,286,1.02751907817858,-0.886814403575936,-0.140704674602644
"5",5,5,"ATQASUK:RATE_BETULA_SHRUB:31",9,15,-1,0.285714285714286,0.555035950982658,1,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",25.3211350155094,70.9399009891026,3.738963995388,12,0,0.253211350155094,0.03738963995388,0.709399009891026,5,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,279,0.606080579737956,-4.09679273483442,3.49071215509646
"6",6,6,"ATQASUK:RATE_BETULA_SHRUB:48",9,9,-2,0,0.211138788287016,2,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",50.0950574520316,49.694280225627,0.210662322341441,8,0,0.500950574520316,0.00210662322341441,0.49694280225627,6,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,282,-0.046813849409213,-1.51542195137132,1.56223580078053
"7",7,7,"ATQASUK:RATE_BETULA_SHRUB:54",9,12,1,0.363636363636364,0.275026344286293,1,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",55.5773677286392,36.3883739658298,8.034258305531,10,0,0.555773677286392,0.08034258305531,0.363883739658298,7,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,284,0.683639905490596,-1.75599881821891,1.07235891272831
"8",8,8,"ATQASUK:RATE_BETULA_SHRUB:42",9,13,-1,0.333333333333333,0.366250792458611,1,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",65.8912571283505,20.0232170078105,14.0855258638389,10,0,0.658912571283505,0.140855258638389,0.200232170078105,8,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,280,0.308902984513644,-1.05583419746305,0.746931212949404
"9",9,9,"ATQASUK:RATE_BETULA_SHRUB:44",9,11,2,0,0.242766576030051,2,"ATQASUK:RATE_BETULA_SHRUB","MOIST",70.456021,-157.414293,1,"North America-West",80.1628735544549,9.0206432066124,10.8164832389327,10,0,0.801628735544549,0.108164832389327,0.090206432066124,9,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,281,-0.0262023109418501,-0.376189686751898,0.402391997693746
"10",10,10,"ATQASUK:RATE_CAREX_ WET_MEADOW:18",9,20,1,0.210526315789474,0.325613628042581,1,"ATQASUK:RATE_CAREX_ WET_MEADOW","WET",70.456021,-157.414293,1,"North America-West",11.6074801788379,81.3157667440521,7.07675307711002,18,0,0.116074801788379,0.0707675307711002,0.813157667440521,10,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,287,1.35358405903302,-1.56825464371912,0.214670584686101
"11",11,11,"ATQASUK:RATE_CAREX_ WET_MEADOW:22",9,21,0,0.380952380952381,0.784180914600984,0,"ATQASUK:RATE_CAREX_ WET_MEADOW","WET",70.456021,-157.414293,1,"North America-West",15.4010338712795,72.4172637411395,12.181702387581,17,0,0.154010338712795,0.12181702387581,0.724172637411395,11,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,288,0.561048967371867,-2.90194453207392,2.34089556470205
"12",12,12,"ATQASUK:RATE_DRYAS_HEATH:5",9,23,-2,0.285714285714286,0.526405903916603,2,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",0,65.9045930361144,34.0954069638856,19,0,0,0.340954069638856,0.659045930361144,13,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,294,-0.382100824543149,0.382100824543147,NA
"13",13,13,"ATQASUK:RATE_DRYAS_HEATH:16",9,22,-2,0.2,0.318149574087939,2,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",65.9349896166452,24.9669132183477,9.09809716500716,19,0,0.659349896166452,0.0909809716500716,0.249669132183477,14,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,291,-0.826712622477185,-1.04786976658067,1.87458238905785
"14",14,14,"ATQASUK:RATE_DRYAS_HEATH:19",9,20,2,0.333333333333333,0.285968078699513,2,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",52.6999451980178,30.9504924711265,16.3495623308557,16,0,0.526999451980178,0.163495623308557,0.309504924711265,15,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,293,1.56461890935108,-2.04890506056976,0.484286151218681
"15",15,15,"ATQASUK:RATE_DRYAS_HEATH:1",9,22,-7,0.133333333333333,0.270505558260464,7,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",69.8981334060363,17.9167873811506,12.1850792128132,18,0,0.698981334060363,0.121850792128132,0.179167873811506,16,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,289,2.25203396780101,-0.878015059200661,-1.37401890860035
"16",16,16,"ATQASUK:RATE_DRYAS_HEATH:17",9,23,-4,0.315789473684211,0.305091129487866,4,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",47.870046911464,42.7881633304123,9.34178975812362,18,0,0.47870046911464,0.0934178975812362,0.427881633304123,17,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,292,0.824967459166806,-2.68074775792715,1.85578029876034
"17",17,17,"ATQASUK:RATE_DRYAS_HEATH:14",9,20,-7,0.461538461538462,0.409722889873315,7,"ATQASUK:RATE_DRYAS_HEATH","DRY",70.456021,-157.414293,1,"North America-West",69.1224695258523,24.7792479783839,6.09828249576386,14,0,0.691224695258523,0.0609828249576386,0.247792479783839,18,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,290,-0.511290963201247,1.80709620485462,-1.29580524165337
"18",18,18,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:46",9,7,1,0.333333333333333,0.218140393944618,1,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","WET",70.456021,-157.414293,1,"North America-West",0.104807154835103,92.2883937318024,7.60679911336252,6,0,0.00104807154835103,0.0760679911336252,0.922883937318024,19,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,297,1.5040759721515,-1.48078549329926,-0.0232904788522454
"19",19,19,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:45",9,6,0,0.333333333333333,0.129874484644958,0,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","WET",70.456021,-157.414293,1,"North America-West",5.09883409735619,92.3907961256081,2.51036977703569,5,0,0.0509883409735619,0.0251036977703569,0.923907961256081,20,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,296,0.523513393694733,-0.832270275367251,0.308756881672516
"20",20,20,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW:13",9,10,1,0.444444444444444,0.390963607029537,1,"ATQASUK:RATE_ERIOPHORUM_WET_MEADOW","WET",70.456021,-157.414293,1,"North America-West",0,88.7047516715823,11.2952483284177,8,0,0,0.112952483284177,0.887047516715823,21,70.456021,-157.414293,-11.1,8,-28.1,138,2,0.024304301798846,1.39887955182073,295,1.98761362159506,-1.98761362159506,NA
